bank,seed,kind,rank,existence,offset,counts,sign,bf_lambda_per_fold
real,,real,1,0.009284854669211473,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle0,0,shuffle,1,-0.0012841898225066483,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0]"
shuffle1,1,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle2,2,shuffle,1,-0.001916222051191785,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle3,3,shuffle,1,-0.002645949872514758,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0]"
shuffle4,4,shuffle,1,0.007794215922605036,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle5,5,shuffle,1,-0.0015838530125377504,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle6,6,shuffle,1,0.0032530951835062607,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0]"
shuffle7,7,shuffle,1,-0.00024147552929840166,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 100.0]"
shuffle8,8,shuffle,1,-0.002311020697935484,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 3.0, 100.0, 100.0, 3.0]"
shuffle9,9,shuffle,1,-0.0031324305234728235,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 3.0, 3.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle10,10,shuffle,1,-0.0018537789676902228,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 100.0, 100.0, 3.0, 3.0, 3.0, 100.0, 3.0]"
shuffle11,11,shuffle,1,-0.0015498422668339784,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 3.0]"
shuffle12,12,shuffle,1,0.0008530885347211193,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 3.0]"
shuffle13,13,shuffle,1,0.002925851408516933,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 100.0]"
shuffle14,14,shuffle,1,0.0015070621277766872,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 100.0, 100.0, 3.0, 100.0, 100.0, 3.0]"
shuffle15,15,shuffle,1,-0.0013710173133578806,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle16,16,shuffle,1,-0.0012449854523013282,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0]"
shuffle17,17,shuffle,1,-0.001183100232983464,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle18,18,shuffle,1,-0.002181846340095528,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle19,19,shuffle,1,-0.0004590306555624757,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle20,20,shuffle,1,-0.0032480727373696504,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0]"
shuffle21,21,shuffle,1,0.0020482727975351944,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 100.0]"
shuffle22,22,shuffle,1,-0.0009491515529583938,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle23,23,shuffle,1,-0.0003815470895070949,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle24,24,shuffle,1,-0.002401326077826271,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle25,25,shuffle,1,-0.0018854897873588016,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle26,26,shuffle,1,0.0021748987958345677,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 100.0, 3.0, 3.0]"
shuffle27,27,shuffle,1,-0.001745159603475488,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle28,28,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle29,29,shuffle,1,0.00015847877940814993,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle30,30,shuffle,1,-0.0014718626329994545,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle31,31,shuffle,1,0.009299832219633996,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle32,32,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle33,33,shuffle,1,-0.0020800349970989894,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle34,34,shuffle,1,-0.001672114776349376,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0]"
shuffle35,35,shuffle,1,-0.0016897150409134088,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle36,36,shuffle,1,-0.0022172471249574223,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle37,37,shuffle,1,-0.001493856038106489,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 3.0, 100.0, 100.0]"
shuffle38,38,shuffle,1,-0.004544190964975941,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0]"
shuffle39,39,shuffle,1,-0.0009135156381676945,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle40,40,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle41,41,shuffle,1,-0.0021924581193261293,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle42,42,shuffle,1,-0.0012378175683616433,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 100.0, 100.0, 3.0, 3.0, 100.0, 3.0, 100.0]"
shuffle43,43,shuffle,1,-0.002283874265096997,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0]"
shuffle44,44,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle45,45,shuffle,1,-0.0007568387424095769,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle46,46,shuffle,1,0.0022475010350002655,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0]"
shuffle47,47,shuffle,1,0.00020338541487347484,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 100.0, 3.0]"
shuffle48,48,shuffle,1,-0.002469756705328502,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle49,49,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle50,50,shuffle,1,-0.0024998775810057827,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle51,51,shuffle,1,-0.001589161905806824,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle52,52,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle53,53,shuffle,1,-0.0011074372872848016,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 3.0, 3.0]"
shuffle54,54,shuffle,1,-0.001239989190740498,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle55,55,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle56,56,shuffle,1,-0.0007677751699064928,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 3.0, 3.0, 100.0, 3.0, 100.0, 100.0]"
shuffle57,57,shuffle,1,-0.0010141787369401633,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle58,58,shuffle,1,-0.0004594244480941201,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 100.0]"
shuffle59,59,shuffle,1,0.005244890682708813,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle60,60,shuffle,1,-0.0014458179951855276,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle61,61,shuffle,1,0.008898003363021661,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle62,62,shuffle,1,-0.0017198715634673789,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle63,63,shuffle,1,-0.0017654393514578703,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle64,64,shuffle,1,-0.0009946534281664143,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle65,65,shuffle,1,-0.0013391302461208065,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 3.0]"
shuffle66,66,shuffle,1,-0.0017639007520723394,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle67,67,shuffle,1,-0.0022617242349001255,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
