bank,seed,kind,rank,existence,offset,counts,sign,bf_lambda_per_fold
real,,real,4,0.027942643604972915,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 1.0, 3.0, 3.0, 1.0, 3.0, 3.0, 3.0]"
shuffle0,0,shuffle,4,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle1,1,shuffle,4,-0.0028486500714412387,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle2,2,shuffle,4,-0.0012384811560191,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle3,3,shuffle,4,-9.847718688236196e-05,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0]"
shuffle4,4,shuffle,4,-0.0014552211498985944,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle5,5,shuffle,4,-0.0013225747359071117,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle6,6,shuffle,4,0.002446683943975908,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0]"
shuffle7,7,shuffle,4,-0.0006495726805331558,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle8,8,shuffle,4,-0.0010150437689534942,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0]"
shuffle9,9,shuffle,4,-0.0036925799831887874,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 3.0, 100.0]"
shuffle10,10,shuffle,4,-0.0022494115481451306,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 3.0]"
shuffle11,11,shuffle,4,-0.0019829523777434854,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle12,12,shuffle,4,-0.003200617855103899,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 3.0, 3.0, 3.0]"
shuffle13,13,shuffle,4,0.004184247005330166,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle14,14,shuffle,4,0.0009309612203654505,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 100.0]"
shuffle15,15,shuffle,4,-0.0018982303942637114,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle16,16,shuffle,4,-0.003669589647064464,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 3.0]"
shuffle17,17,shuffle,4,0.0003266145931046183,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 3.0]"
shuffle18,18,shuffle,4,-0.002411284447565348,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle19,19,shuffle,4,-0.0020394908354864627,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 100.0, 100.0, 3.0, 3.0, 3.0, 100.0, 3.0]"
