type_index,type_name,rule_existence,rule_offset,rule_counts,rule_sign,N1_existence,N1_offset,N1_counts,N1_sign
0,Mi3,0.2154844643639903,0.26666666666666666,0.8197223804149886,0.6,0.21440644296125577,0.0,0.9145089907977584,0.6
1,Tm5Y,0.33640948508528806,0.5840136054421768,0.8646943141180645,1.0,0.3497027487476925,0.6649659863945577,0.8682907217072591,1.0
2,T4d,0.305060743514191,0.22579975579975584,0.8490754422856277,1.0,0.3125190922536776,0.14836219336219336,0.9012223217811544,1.0
3,Tm28,0.23509915136153187,0.3785714285714286,0.7835390840789381,1.0,0.2517178995318132,0.3866666666666667,0.8166704461529082,1.0
4,Tm2,0.6043494207852017,0.6912131519274377,0.6301399149910356,1.0,0.5825187331849404,0.5286734693877552,1.0112332291618393,1.0
5,TmY15,0.6630276626345031,0.20285428648533585,0.7179334876901219,0.47368421052631576,0.6517361529143465,0.11685500861910346,0.7555199941634132,0.47368421052631576
6,Tm3,0.673909992553385,0.31813778105644136,0.8645569775916352,1.0,0.6520348005578976,0.21239795557977376,1.1088049503045327,1.0
7,Mi12,0.2611648481179888,0.2863636363636364,0.7596729241133879,0.45454545454545453,0.2602030831879307,0.2333333333333333,0.8286607348968726,0.45454545454545453
8,Tm5c,0.3380182667821408,0.47692307692307695,0.8360641527642396,0.5384615384615384,0.3382431245078855,0.5153846153846153,0.840660387917593,0.5384615384615384
9,Lawf1,0.1922954327903531,0.2870748299319728,1.0207172807010627,1.0,0.21104065390172314,0.21904761904761907,1.1032625094634794,1.0
10,TmY14,0.4514572278113034,0.2748168498168498,0.9865616406049609,0.7272727272727273,0.4435461468144233,0.23510962721489034,1.0997131127228754,0.7272727272727273
11,T2,0.5253604284090438,0.1820132227119523,0.936381077859015,1.0,0.5250380080293048,0.14154351395730705,1.0560716972944844,1.0
12,L2,0.5963067646324961,0.946236559139785,0.9406469094887939,0.9354838709677419,0.590999145462788,0.8853383458646615,1.341765345364468,0.9354838709677419
13,Lawf2,0.2739167831624517,0.16111528822055135,1.4484972651719097,1.0,0.28383957003560517,0.11448830409356724,1.4700115930895983,1.0
14,T4c,0.3536885494661586,0.35058458435651413,0.7611006677992521,1.0,0.3547619287027384,0.2616000227842333,0.8092346017319085,1.0
15,TmY5a,0.4559619561047798,0.4016218081435472,0.7613551474794022,0.5652173913043478,0.46032508127820715,0.2876811594202898,0.9362149880986043,0.5652173913043478
16,T3,0.21605231986828935,0.3167107583774251,1.055874253866625,1.0,0.23214627688377626,0.307716049382716,1.154842745968443,1.0
17,T5b,0.3341017155305402,0.3726190476190476,0.8617673847625302,1.0,0.34259179356927005,0.24382440476190476,0.8647588194781693,1.0
18,T5c,0.3024395842635068,0.331672669067627,0.7852855029031705,1.0,0.3091138808349703,0.32090677179962895,0.8002262576304535,1.0
19,Mi15,0.29186053878327156,0.5555555555555555,0.7016764383872753,0.9166666666666666,0.3045172100858683,0.5277777777777778,0.7067367730099,0.9166666666666666
20,Tm20,0.3448568669476015,0.7401785714285714,0.8244276909920936,0.9375,0.34118296320874997,0.7276785714285714,0.8373135993771597,0.9375
21,Mi10,0.37348556519584236,0.21111111111111108,0.9680104703135926,0.35294117647058826,0.3774740691358615,0.28954248366013075,1.1158047015194916,0.35294117647058826
22,Tm5b,0.43409866793852386,0.328125,0.8898445227630021,1.0,0.4336847100710851,0.328125,0.8925237628545729,1.0
23,TmY3,0.3603242115973991,0.20687455819034764,0.9451245710117402,1.0,0.3688732606946671,0.21716894216894217,1.0866905605653052,1.0
24,C3,0.6288020499888198,0.792985842985843,0.7185143958583031,0.4594594594594595,0.6087850494703416,0.6757467994310099,1.1600212668934975,0.4594594594594595
