run_label,netdir,run_id,seed,individual,individual_label,role,is_replicate,replicate_of,night,chkpt_index,chkpt_iter,solver_iteration,stop_iter,side_by_chkpt_iter,side_by_solver_iteration,conventions_agree,penalty_active,pre_weight,weighted,n_central_below_baseline,n_central_above_baseline,n_central_at_baseline,n_cells_total,activity_baseline,activity_penalty,below_w,above_w,reduction_path,deterministic
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,19,64811,64812,150000,before,before,True,True,15.970575765021717,1.5970575765021717,883,157,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,20,68411,68412,150000,before,before,True,True,15.627526692658474,1.5627526692658475,894,146,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,21,72011,72012,150000,before,before,True,True,15.810812622600986,1.5810812622600987,893,147,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,22,75611,75612,150000,before,before,True,True,15.864292486363361,1.5864292486363363,900,140,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,23,79211,79212,150000,before,before,True,True,15.81292531756339,1.581292531756339,898,142,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,24,82811,82812,150000,before,before,True,True,15.763554264979753,1.5763554264979753,908,132,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,25,86411,86412,150000,before,before,True,True,15.707747649256532,1.5707747649256534,891,149,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,26,90011,90012,150000,before,before,True,True,15.988116812428878,1.5988116812428879,907,133,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,27,93611,93612,150000,before,before,True,True,16.07161172265709,1.6071611722657089,909,131,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,28,97211,97212,150000,before,before,True,True,16.111070802201652,1.6111070802201652,899,141,0,1040,5.0,0.1,1.0,0.1,gpu,False
