# PREVIEW DIAGNOSTIC -- NOT A TEST (gray-stimulus control, brief docs/briefs/2026-09-16-step1-gray-stimulus.md v5.1; n=6 individuals)
# script_sha256=61eb8bf3068b0bc4a89568c144ab1a931c68a0c4a54659a24cd5b631fc067624
run,label,checkpoint_iter,condition,loss_16,loss_item_02_ambush_2_split_00,loss_item_02_ambush_2_split_01,loss_item_02_ambush_2_split_02,loss_item_07_bamboo_1_split_00,loss_item_07_bamboo_1_split_01,loss_item_07_bamboo_1_split_02,loss_item_09_bandage_1_split_00,loss_item_09_bandage_1_split_01,loss_item_09_bandage_1_split_02,loss_item_12_cave_4_split_00,loss_item_13_market_2_split_00,loss_item_13_market_2_split_01,loss_item_13_market_2_split_02,loss_item_16_mountain_1_split_00,loss_item_16_mountain_1_split_01,loss_item_16_mountain_1_split_02
000,seed0,0,real,1212.5555891990662,4222.93798828125,4526.18994140625,4928.9189453125,123.35961151123047,106.6323471069336,130.35470581054688,774.1333618164062,780.2822875976562,633.8546142578125,1196.8843994140625,769.3876953125,495.92431640625,227.32440185546875,186.8564910888672,89.11231231689453,208.7360076904297
000,seed0,0,gray,1212.5542159080505,4222.93603515625,4526.1875,4928.9169921875,123.35615539550781,106.6284408569336,130.3514404296875,774.1322631835938,780.2810668945312,633.853515625,1196.884765625,769.385986328125,495.9231872558594,227.32350158691406,186.8578643798828,89.11274719238281,208.73599243164062
000,seed0,0,zero,1212.556869983673,4222.94189453125,4526.19384765625,4928.92431640625,123.36679077148438,106.6401138305664,130.36163330078125,774.1282348632812,780.2753295898438,633.84814453125,1196.8841552734375,769.3907470703125,495.9258728027344,227.3264617919922,186.862548828125,89.11129760742188,208.72853088378906
000,seed0,0,shuffled,1212.5552260398865,4222.93603515625,4526.1884765625,4928.9189453125,123.35958099365234,106.63233947753906,130.35470581054688,774.1332397460938,780.2817993164062,633.8540649414062,1196.88427734375,769.3870849609375,495.9239196777344,227.32431030273438,186.85643310546874,89.11235046386719,208.73605346679688
000,seed0,250008,real,1148.8074553489685,4048.8451171875,4363.8146484375,4764.62119140625,93.36493835449218,79.3864501953125,104.89820098876953,687.71875,690.9064208984375,546.34404296875,1181.232568359375,679.7902099609375,445.06914672851565,208.05989685058594,183.49947814941407,101.54234924316407,201.82587585449218
000,seed0,250008,gray,1211.1668274879455,4211.70654296875,4521.283203125,4925.70703125,125.2206298828125,111.5600570678711,133.98943481445312,778.546435546875,791.6541748046875,644.4898193359375,1202.5337646484375,765.3146850585938,483.4837341308594,223.16263122558593,172.0643737792969,83.96784362792968,203.98487854003906
000,seed0,250008,zero,1206.2047743797302,4197.86376953125,4501.310546875,4904.06396484375,102.24412841796875,83.83699340820313,110.54874877929687,783.5547729492188,798.897412109375,652.725927734375,1202.7410888671875,754.1187133789062,483.92775268554686,224.40017700195312,168.93729248046876,101.73325042724609,228.3718505859375
000,seed0,250008,shuffled,1334.629831790924,4432.6072265625,4809.31748046875,5107.6146484375,126.8115234375,113.7111572265625,139.54529418945313,978.2378295898437,820.1992065429688,931.073583984375,1217.8774658203124,1175.5750732421875,718.5839599609375,235.50811462402345,223.3303680419922,110.86561126708985,213.21876525878906
900,seed0prime,0,real,1212.5555891990662,4222.93798828125,4526.18994140625,4928.9189453125,123.35961151123047,106.6323471069336,130.35470581054688,774.1333618164062,780.2822875976562,633.8546142578125,1196.8843994140625,769.3876953125,495.92431640625,227.32440185546875,186.8564910888672,89.11231231689453,208.7360076904297
900,seed0prime,0,gray,1212.5542159080505,4222.93603515625,4526.1875,4928.9169921875,123.35615539550781,106.6284408569336,130.3514404296875,774.1322631835938,780.2810668945312,633.853515625,1196.884765625,769.385986328125,495.9231872558594,227.32350158691406,186.8578643798828,89.11274719238281,208.73599243164062
900,seed0prime,0,zero,1212.556869983673,4222.94189453125,4526.19384765625,4928.92431640625,123.36679077148438,106.6401138305664,130.36163330078125,774.1282348632812,780.2753295898438,633.84814453125,1196.8841552734375,769.3907470703125,495.9258728027344,227.3264617919922,186.862548828125,89.11129760742188,208.72853088378906
900,seed0prime,0,shuffled,1212.5552260398865,4222.93603515625,4526.1884765625,4928.9189453125,123.35958099365234,106.63233947753906,130.35470581054688,774.1332397460938,780.2817993164062,633.8540649414062,1196.88427734375,769.3870849609375,495.9239196777344,227.32431030273438,186.85643310546874,89.11235046386719,208.73605346679688
900,seed0prime,250008,real,1160.9823503494263,4068.65859375,4381.736328125,4782.3841796875,92.47389373779296,82.71761474609374,111.84890441894531,708.2151489257812,721.4997314453125,586.890234375,1184.1032470703126,669.8835327148438,450.34832153320315,219.4831115722656,184.99972229003907,115.18918914794922,215.28585205078124
900,seed0prime,250008,gray,1212.0450267791748,4194.35107421875,4503.7666015625,4911.10205078125,118.8609603881836,114.52128295898437,142.3943664550781,769.4624633789062,786.4127197265625,640.9400024414062,1203.7755126953125,770.94091796875,484.066748046875,224.9404510498047,186.10540161132812,114.41155548095703,226.66831970214844
900,seed0prime,250008,zero,1213.7134284973145,4198.79296875,4503.19287109375,4906.58251953125,116.91708679199219,104.90556335449219,131.3794952392578,789.6484375,802.9860229492188,649.4880126953125,1196.48583984375,765.9275756835938,491.78455810546876,232.1436340332031,180.89915466308594,115.34369201660157,232.9374237060547
900,seed0prime,250008,shuffled,1305.537187385559,4395.86982421875,4753.30517578125,4995.94169921875,125.40235137939453,109.4548583984375,129.52315368652344,986.4906127929687,810.2859130859375,941.0277954101563,1216.530322265625,999.4560302734375,619.671728515625,241.2055694580078,217.18960266113282,118.25490875244141,228.9854522705078
001,seed1,0,real,1212.5529980659485,4222.93115234375,4526.18359375,4928.912109375,123.34961700439453,106.62158966064453,130.34530639648438,774.1376953125,780.2881469726562,633.8599243164062,1196.885009765625,769.3832397460938,495.92120361328125,227.32110595703125,186.8518829345703,89.11347198486328,208.742919921875
001,seed1,0,gray,1212.5516066551208,4222.92919921875,4526.1806640625,4928.91064453125,123.34610748291016,106.61763763427734,130.34201049804688,774.1365356445312,780.2869262695312,633.8588256835938,1196.8853759765625,769.3814697265625,495.9200439453125,227.3201904296875,186.85325622558594,89.11389923095703,208.742919921875
001,seed1,0,zero,1212.55433177948,4222.935546875,4526.1875,4928.91796875,123.35686492919922,106.62943267822266,130.35232543945312,774.1324462890625,780.2811279296875,633.8533325195312,1196.884765625,769.3862915039062,495.9227600097656,227.3231964111328,186.85794067382812,89.11244201660156,208.73536682128906
001,seed1,0,shuffled,1212.5525994300842,4222.9296875,4526.181640625,4928.91162109375,123.3495864868164,106.62158203125,130.34530639648438,774.1375122070312,780.2876586914062,633.859375,1196.8848876953125,769.3826293945312,495.9207763671875,227.32102966308594,186.85183715820312,89.11351013183594,208.74295043945312
001,seed1,250008,real,1144.6362351417542,3935.176953125,4312.6337890625,4714.099609375,105.06286010742187,103.01048736572265,123.58763580322265,692.6054931640625,706.93544921875,559.3322265625,1190.2056884765625,678.2033203125,446.2204528808594,230.71959838867187,184.67379760742188,121.17342681884766,210.53897399902343
001,seed1,250008,gray,1210.0907347679138,4193.67431640625,4503.7890625,4912.4638671875,120.33375091552735,114.23353881835938,142.8224639892578,773.7226806640625,790.4546020507812,644.0997436523437,1202.287353515625,764.795654296875,479.6995910644531,226.4829833984375,176.38531494140625,102.18047180175782,214.02636108398437
001,seed1,250008,zero,1237.4689399719239,4194.54541015625,4506.27197265625,4911.9357421875,167.76657104492188,165.55349426269532,181.23050842285156,806.71630859375,825.089794921875,669.7653930664062,1210.332861328125,760.4520385742187,491.8175476074219,263.21705932617186,215.55429382324218,167.8358184814453,261.41822509765626
001,seed1,250008,shuffled,1314.9330051422119,4336.97412109375,4661.25615234375,4915.6955078125,149.2867218017578,139.7900177001953,162.36920471191405,1022.9073974609375,917.0747680664062,963.3208251953125,1231.296484375,1018.8591796875,678.5813110351562,245.92274780273436,215.08696899414062,134.49811706542968,246.00855712890626
002,seed2,0,real,1212.5592331886292,4222.94677734375,4526.19921875,4928.9287109375,123.37406158447266,106.64786529541016,130.3679962158203,774.1273803710938,780.2742309570312,633.8473510742188,1196.883544921875,769.3941040039062,495.9289245605469,227.3292236328125,186.8623046875,89.11023712158203,208.72579956054688
002,seed2,0,gray,1212.5578484535217,4222.94482421875,4526.19677734375,4928.9267578125,123.37055969238281,106.64391326904297,130.3647003173828,774.1262817382812,780.2730102539062,633.8463134765625,1196.8839111328125,769.3922729492188,495.9277648925781,227.3283233642578,186.8636932373047,89.11067199707031,208.72579956054688
002,seed2,0,zero,1212.560553073883,4222.951171875,4526.203125,4928.93408203125,123.38127899169922,106.6556625366211,130.37496948242188,774.1221923828125,780.2672729492188,633.8408813476562,1196.8834228515625,769.3970947265625,495.93048095703125,227.33131408691406,186.86837768554688,89.1092300415039,208.71829223632812
002,seed2,0,shuffled,1212.558837890625,4222.94482421875,4526.19775390625,4928.92822265625,123.3740234375,106.64785766601562,130.3679962158203,774.127197265625,780.2737426757812,633.8468627929688,1196.8834228515625,769.3934326171875,495.92852783203125,227.3291473388672,186.86227416992188,89.11027526855469,208.72584533691406
002,seed2,250008,real,1147.7178997039796,4112.54794921875,4363.97333984375,4701.60546875,95.62107849121094,79.40375671386718,106.59455108642578,679.2449584960938,675.3075439453125,539.7303100585938,1183.8409423828125,663.8284545898438,459.82501831054685,222.8501434326172,166.61700439453125,107.94996185302735,204.54591369628906
002,seed2,250008,gray,1209.2973466873168,4207.3173828125,4512.25634765625,4915.4119140625,124.79539947509765,112.93090515136718,139.5094421386719,765.9266357421875,778.5428833007812,632.0949096679688,1202.576904296875,763.5579711914063,485.4728637695313,230.7530303955078,177.48396911621094,96.38180694580078,203.74518127441405
