# PREVIEW DIAGNOSTIC -- NOT A TEST (gray-stimulus control, brief docs/briefs/2026-09-16-step1-gray-stimulus.md v5.1; n=6 individuals)
# script_sha256=61eb8bf3068b0bc4a89568c144ab1a931c68a0c4a54659a24cd5b631fc067624
run,label,checkpoint_iter,condition,loss_16,loss_item_02_ambush_2_split_00,loss_item_02_ambush_2_split_01,loss_item_02_ambush_2_split_02,loss_item_07_bamboo_1_split_00,loss_item_07_bamboo_1_split_01,loss_item_07_bamboo_1_split_02,loss_item_09_bandage_1_split_00,loss_item_09_bandage_1_split_01,loss_item_09_bandage_1_split_02,loss_item_12_cave_4_split_00,loss_item_13_market_2_split_00,loss_item_13_market_2_split_01,loss_item_13_market_2_split_02,loss_item_16_mountain_1_split_00,loss_item_16_mountain_1_split_01,loss_item_16_mountain_1_split_02
000,seed0,0,real,1212.5555891990662,4222.93798828125,4526.18994140625,4928.9189453125,123.35961151123047,106.6323471069336,130.35470581054688,774.1333618164062,780.2822875976562,633.8546142578125,1196.8843994140625,769.3876953125,495.92431640625,227.32440185546875,186.8564910888672,89.11231231689453,208.7360076904297
000,seed0,0,gray,1212.5542159080505,4222.93603515625,4526.1875,4928.9169921875,123.35615539550781,106.6284408569336,130.3514404296875,774.1322631835938,780.2810668945312,633.853515625,1196.884765625,769.385986328125,495.9231872558594,227.32350158691406,186.8578643798828,89.11274719238281,208.73599243164062
000,seed0,0,zero,1212.556869983673,4222.94189453125,4526.19384765625,4928.92431640625,123.36679077148438,106.6401138305664,130.36163330078125,774.1282348632812,780.2753295898438,633.84814453125,1196.8841552734375,769.3907470703125,495.9258728027344,227.3264617919922,186.862548828125,89.11129760742188,208.72853088378906
000,seed0,0,shuffled,1212.5552258491516,4222.93603515625,4526.1884765625,4928.9189453125,123.35958099365234,106.63233947753906,130.35470581054688,774.1332397460938,780.2817993164062,633.8540649414062,1196.88427734375,769.3870849609375,495.9239196777344,227.32431030273438,186.85643005371094,89.11235046386719,208.73605346679688
000,seed0,250008,real,1148.8074301719666,4048.844921875,4363.81474609375,4764.6208984375,93.36497192382812,79.38644256591797,104.89819030761718,687.7187133789063,690.9063598632813,546.3440185546875,1181.2326416015626,679.7902221679688,445.0691711425781,208.05985412597656,183.49950256347657,101.54235229492187,201.82587585449218
000,seed0,250008,gray,1211.1668436050415,4211.70654296875,4521.283203125,4925.70703125,125.22071533203125,111.56013793945313,133.98947448730468,778.5464599609375,791.6541870117187,644.4898071289062,1202.5337646484375,765.314697265625,483.48374633789064,223.16262817382812,172.06438903808595,83.96785583496094,203.98485717773437
000,seed0,250008,zero,1206.2047726631165,4197.86376953125,4501.310546875,4904.06396484375,102.24408264160157,83.83697204589843,110.54872589111328,783.5547607421875,798.8974609375,652.7259521484375,1202.74111328125,754.1186889648437,483.9277587890625,224.40015869140626,168.93726196289063,101.73328247070313,228.37186279296876
000,seed0,250008,shuffled,1334.6297996520996,4432.60712890625,4809.31767578125,5107.614453125,126.81149291992188,113.71121368408203,139.54535217285155,978.2374877929688,820.19931640625,931.0734985351562,1217.8774169921876,1175.5749755859374,718.5840576171875,235.50802612304688,223.3303680419922,110.86561126708985,213.21871948242188
900,seed0prime,0,real,1212.5555891990662,4222.93798828125,4526.18994140625,4928.9189453125,123.35961151123047,106.6323471069336,130.35470581054688,774.1333618164062,780.2822875976562,633.8546142578125,1196.8843994140625,769.3876953125,495.92431640625,227.32440185546875,186.8564910888672,89.11231231689453,208.7360076904297
900,seed0prime,0,gray,1212.5542159080505,4222.93603515625,4526.1875,4928.9169921875,123.35615539550781,106.6284408569336,130.3514404296875,774.1322631835938,780.2810668945312,633.853515625,1196.884765625,769.385986328125,495.9231872558594,227.32350158691406,186.8578643798828,89.11274719238281,208.73599243164062
900,seed0prime,0,zero,1212.556869983673,4222.94189453125,4526.19384765625,4928.92431640625,123.36679077148438,106.6401138305664,130.36163330078125,774.1282348632812,780.2753295898438,633.84814453125,1196.8841552734375,769.3907470703125,495.9258728027344,227.3264617919922,186.862548828125,89.11129760742188,208.72853088378906
900,seed0prime,0,shuffled,1212.5552260398865,4222.93603515625,4526.1884765625,4928.9189453125,123.35958099365234,106.63233947753906,130.35470581054688,774.1332397460938,780.2817993164062,633.8540649414062,1196.88427734375,769.3870849609375,495.9239196777344,227.32431030273438,186.85643310546874,89.11235046386719,208.73605346679688
900,seed0prime,250008,real,1160.9823588371278,4068.65859375,4381.73642578125,4782.3841796875,92.47389221191406,82.71762542724609,111.84891052246094,708.2151489257812,721.4997436523438,586.8901611328125,1184.103271484375,669.8835815429687,450.34832763671875,219.48311767578124,184.9997314453125,115.18919677734375,215.28583374023438
900,seed0prime,250008,gray,1212.0450295448304,4194.35107421875,4503.76669921875,4911.10205078125,118.86095428466797,114.5212631225586,142.3943664550781,769.4624633789062,786.4126953125,640.9400024414062,1203.7755126953125,770.94091796875,484.06675415039064,224.9404541015625,186.10539855957032,114.41155853271485,226.66830749511718
900,seed0prime,250008,zero,1213.713426208496,4198.79296875,4503.19287109375,4906.58251953125,116.91708068847656,104.905517578125,131.3794921875,789.6484252929688,802.9860473632813,649.48798828125,1196.48583984375,765.9276000976563,491.78456420898436,232.14363708496094,180.89915161132814,115.34368591308593,232.93742980957032
900,seed0prime,250008,shuffled,1305.5371885299683,4395.86982421875,4753.305078125,4995.94189453125,125.40235900878906,109.45487060546876,129.52312927246095,986.4905517578125,810.28603515625,941.0279052734375,1216.5303466796875,999.4559326171875,619.6716186523438,241.2055419921875,217.18954772949218,118.25489807128906,228.98548278808593
001,seed1,0,real,1212.5529980659485,4222.93115234375,4526.18359375,4928.912109375,123.34961700439453,106.62158966064453,130.34530639648438,774.1376953125,780.2881469726562,633.8599243164062,1196.885009765625,769.3832397460938,495.92120361328125,227.32110595703125,186.8518829345703,89.11347198486328,208.742919921875
001,seed1,0,gray,1212.5516066551208,4222.92919921875,4526.1806640625,4928.91064453125,123.34610748291016,106.61763763427734,130.34201049804688,774.1365356445312,780.2869262695312,633.8588256835938,1196.8853759765625,769.3814697265625,495.9200439453125,227.3201904296875,186.85325622558594,89.11389923095703,208.742919921875
001,seed1,0,zero,1212.55433177948,4222.935546875,4526.1875,4928.91796875,123.35686492919922,106.62943267822266,130.35232543945312,774.1324462890625,780.2811279296875,633.8533325195312,1196.884765625,769.3862915039062,495.9227600097656,227.3231964111328,186.85794067382812,89.11244201660156,208.73536682128906
001,seed1,0,shuffled,1212.5525994300842,4222.9296875,4526.181640625,4928.91162109375,123.3495864868164,106.62158203125,130.34530639648438,774.1375122070312,780.2876586914062,633.859375,1196.8848876953125,769.3826293945312,495.9207763671875,227.32102966308594,186.85183715820312,89.11351013183594,208.74295043945312
001,seed1,250008,real,1144.6362342834473,3935.17685546875,4312.63408203125,4714.09951171875,105.06284942626954,103.01036834716797,123.58765411376953,692.60546875,706.9354614257812,559.3322387695313,1190.2056396484375,678.2033569335938,446.22051391601565,230.71954040527345,184.6738037109375,121.17343597412109,210.53896789550782
001,seed1,250008,gray,1210.090726661682,4193.67431640625,4503.7890625,4912.4638671875,120.33373260498047,114.23350219726562,142.82248229980468,773.72265625,790.4546020507812,644.0997436523437,1202.287353515625,764.7956420898438,479.69957275390624,226.48299560546874,176.38528747558593,102.18043975830078,214.0263702392578
001,seed1,250008,zero,1237.468939590454,4194.54541015625,4506.27197265625,4911.9359375,167.76654052734375,165.55347595214843,181.2305480957031,806.71630859375,825.089794921875,669.765380859375,1210.332861328125,760.4520263671875,491.81752319335936,263.21705322265626,215.554248046875,167.8357696533203,261.4181823730469
001,seed1,250008,shuffled,1314.9330160140992,4336.97421875,4661.2560546875,4915.6955078125,149.2867431640625,139.7900634765625,162.36918029785156,1022.9075805664063,917.0746337890625,963.3208984375,1231.2964599609375,1018.8589965820313,678.5814086914063,245.92279663085938,215.08697204589845,134.49813537597657,246.00860595703125
002,seed2,0,real,1212.5592331886292,4222.94677734375,4526.19921875,4928.9287109375,123.37406158447266,106.64786529541016,130.3679962158203,774.1273803710938,780.2742309570312,633.8473510742188,1196.883544921875,769.3941040039062,495.9289245605469,227.3292236328125,186.8623046875,89.11023712158203,208.72579956054688
002,seed2,0,gray,1212.5578484535217,4222.94482421875,4526.19677734375,4928.9267578125,123.37055969238281,106.64391326904297,130.3647003173828,774.1262817382812,780.2730102539062,633.8463134765625,1196.8839111328125,769.3922729492188,495.9277648925781,227.3283233642578,186.8636932373047,89.11067199707031,208.72579956054688
002,seed2,0,zero,1212.560553073883,4222.951171875,4526.203125,4928.93408203125,123.38127899169922,106.6556625366211,130.37496948242188,774.1221923828125,780.2672729492188,633.8408813476562,1196.8834228515625,769.3970947265625,495.93048095703125,227.33131408691406,186.86837768554688,89.1092300415039,208.71829223632812
002,seed2,0,shuffled,1212.558837890625,4222.94482421875,4526.19775390625,4928.92822265625,123.3740234375,106.64785766601562,130.3679962158203,774.127197265625,780.2737426757812,633.8468627929688,1196.8834228515625,769.3934326171875,495.92852783203125,227.3291473388672,186.86227416992188,89.11027526855469,208.72584533691406
002,seed2,250008,real,1147.7179069519043,4112.54794921875,4363.97333984375,4701.60546875,95.62106781005859,79.40375061035157,106.59454345703125,679.2450073242187,675.3076293945312,539.7302734375,1183.8409423828125,663.8284423828125,459.8250305175781,222.85013732910156,166.61699829101562,107.94997711181641,204.54595336914062
002,seed2,250008,gray,1209.2973438262939,4207.3173828125,4512.25634765625,4915.4119140625,124.79540557861328,112.93087158203124,139.50943908691406,765.9266235351563,778.5428955078125,632.0948974609375,1202.576904296875,763.5579833984375,485.4728637695313,230.75303344726564,177.4839630126953,96.38180999755859,203.745166015625
