run,label,type,base_loss_16,delta_16,delta_norm_16,delta_13,delta_10,delta_item_sequence_02_ambush_2_split_00,delta_item_sequence_02_ambush_2_split_01,delta_item_sequence_02_ambush_2_split_02,delta_item_sequence_07_bamboo_1_split_00,delta_item_sequence_07_bamboo_1_split_01,delta_item_sequence_07_bamboo_1_split_02,delta_item_sequence_09_bandage_1_split_00,delta_item_sequence_09_bandage_1_split_01,delta_item_sequence_09_bandage_1_split_02,delta_item_sequence_12_cave_4_split_00,delta_item_sequence_13_market_2_split_00,delta_item_sequence_13_market_2_split_01,delta_item_sequence_13_market_2_split_02,delta_item_sequence_16_mountain_1_split_00,delta_item_sequence_16_mountain_1_split_01,delta_item_sequence_16_mountain_1_split_02
000,seed0,R1,1148.8074612617493,68.16653203964233,0.05933677690844225,68.17681121826172,65.42771224975587,73.764892578125,56.7060546875,73.89501953125,12.953277587890625,5.757423400878906,-0.15615081787109375,81.67303466796875,40.43670654296875,109.91168212890625,-8.3499755859375,-11.67327880859375,37.815643310546875,82.50730895996094,195.26016235351562,231.77127838134766,108.39143371582031
000,seed0,R2,1148.8074612617493,459.16550397872925,0.39968882468296485,532.6049704918495,568.3122428894044,178.831298828125,98.2607421875,145.69140625,328.59471893310547,337.8990478515625,379.58910369873047,337.930419921875,377.51776123046875,525.2940063476562,16.57568359375,363.07464599609375,218.64974975585938,276.9258270263672,1349.6707763671875,1384.666633605957,1027.4762420654297
000,seed0,R3,1148.8074612617493,-0.9533562660217285,-0.0008298660116418862,3.744363051194398,10.013869476318348,-0.920166015625,-24.10595703125,-38.904296875,-2.8325271606445312,-1.9044036865234375,-4.316581726074219,-12.42596435546875,-27.1546630859375,-11.88134765625,6.9215087890625,-13.23382568359375,1.7723388671875,6.1022186279296875,42.26274108886719,48.46367645263672,16.903549194335938
000,seed0,R4,1148.8074612617493,17.075107097625732,0.0148633323454149,13.380168621356688,17.75454635620116,42.708740234375,24.55322265625,31.99755859375,3.0623626708984375,1.15643310546875,1.0521697998046875,13.20361328125,-28.02008056640625,11.21319580078125,0.043701171875,-8.05731201171875,12.05206298828125,14.381057739257812,67.91131591796875,75.64217376708984,10.301498413085938
000,seed0,R5,1148.8074612617493,1.3378477096557617,0.0011645534650222304,0.2845400296724847,3.8865585327148438,13.322265625,2.6611328125,1.72314453125,0.4788665771484375,0.9641876220703125,1.3269729614257812,-5.850830078125,-20.75982666015625,-8.555908203125,1.8385009765625,-4.51702880859375,3.335418701171875,2.2340545654296875,18.098190307617188,14.826622009277344,0.2798004150390625
000,seed0,R6,1148.8074612617493,3.053706169128418,0.0026581531475905417,5.552259005033079,15.897642517089821,12.361083984375,-12.67919921875,-23.001953125,7.053718566894531,8.099800109863281,2.9036026000976562,-37.00146484375,-48.21942138671875,-1.576171875,9.9083251953125,-5.76544189453125,7.665313720703125,17.810653686523438,51.570159912109375,61.66851043701172,-1.9382171630859375
000,seed0,R7,1148.8074612617493,19.204679012298584,0.01671705630393961,14.289716867300172,1.3758628845214957,32.494384765625,44.65771484375,44.3564453125,-6.265098571777344,-12.03094482421875,-11.420463562011719,57.50909423828125,62.045654296875,52.45294189453125,1.811279296875,22.91259765625,12.75445556640625,3.5531005859375,-19.805496215820312,-3.7816238403320312,26.03082275390625
000,seed0,R8,1148.8074612617493,1040.3820605278015,0.9056191708444661,1203.9189400306113,1373.688762664795,323.515869140625,326.17578125,345.47509765625,1661.7111434936523,1698.3149719238281,1692.394187927246,571.1478271484375,585.2575073242188,757.6532592773438,922.10888671875,1318.9611206054688,1340.9778747558594,1552.9569854736328,1156.273193359375,1214.6337966918945,1178.5554656982422
000,seed0,L1,1148.8074612617493,56.70540142059326,0.04936023078951196,35.80660658616284,31.620921325683582,151.947998046875,139.77685546875,150.07568359375,43.13896942138672,53.27165222167969,52.618202209472656,52.58203125,51.0611572265625,45.63348388671875,18.3922119140625,87.57342529296875,51.898895263671875,31.60430908203125,4.6643829345703125,-7.4033355712890625,-19.54949951171875
000,seed0,L2,1148.8074612617493,138.79425382614136,0.12081594044810776,146.58291802039514,132.02673263549804,155.602294921875,109.23388671875,50.2939453125,-3.5928268432617188,-8.006019592285156,-12.057754516601562,180.01361083984375,206.770751953125,198.5262451171875,16.6409912109375,59.209716796875,28.26629638671875,17.586410522460938,382.003173828125,510.4729690551758,329.74436950683594
