iteration,val_loss_seed0,val_loss_seed0prime,val_loss_seed1,val_loss_seed2,diff_1_minus_0,diff_2_minus_0,diff_2_minus_1
0,1212.5555891990662,1212.5555891990662,1212.5529980659485,1212.5592331886292,-0.0025911331176757812,0.0036439895629882812,0.0062351226806640625
12,1212.2575192451477,1212.257432460785,1211.7470698356628,1211.874619960785,-0.5104494094848633,-0.38289928436279297,0.1275501251220703
3612,1206.3209657669067,1206.3056826591492,1207.6736087799072,1208.0228462219238,1.3526430130004883,1.7018804550170898,0.34923744201660156
7212,1206.1248331069946,1206.1165614128113,1205.8514008522034,1206.370617389679,-0.27343225479125977,0.24578428268432617,0.5192165374755859
10812,1205.7025265693665,1205.6863594055176,1206.354675769806,1206.7138018608093,0.6521492004394531,1.011275291442871,0.35912609100341797
14412,1206.0823640823364,1206.0104479789734,1206.722903251648,1206.761953830719,0.6405391693115234,0.6795897483825684,0.03905057907104492
18012,1205.9266576766968,1205.864339351654,1204.7625842094421,1206.3075051307678,-1.1640734672546387,0.3808474540710449,1.5449209213256836
21612,1199.3853902816772,1200.060486316681,1202.0726828575134,1205.1802520751953,2.6872925758361816,5.794861793518066,3.1075692176818848
25212,1192.749345779419,1192.8248987197876,1192.410327911377,1205.978184223175,-0.3390178680419922,13.228838443756104,13.567856311798096
28812,1184.2531604766846,1183.6375303268433,1182.0623407363892,1200.7650408744812,-2.19081974029541,16.51188039779663,18.70270013809204
32412,1175.8662767410278,1178.3089871406555,1172.8651084899902,1199.5603756904602,-3.0011682510375977,23.694098949432373,26.69526720046997
36012,1170.161361694336,1170.598623752594,1172.3335719108582,1196.1473321914673,2.172210216522217,25.985970497131348,23.81376028060913
39612,1170.5514578819275,1172.1209344863892,1170.7334780693054,1196.9538197517395,0.1820201873779297,26.40236186981201,26.220341682434082
43212,1170.5393662452698,1171.6973991394043,1158.2844829559326,1193.0628776550293,-12.254883289337158,22.52351140975952,34.77839469909668
46812,1163.0752940177917,1165.0034232139587,1163.7274188995361,1183.011552810669,0.6521248817443848,19.936258792877197,19.284133911132812
50412,1166.7278966903687,1165.6999549865723,1164.7513885498047,1175.845567703247,-1.9765081405639648,9.117671012878418,11.094179153442383
54012,1165.3889746665955,1168.5220174789429,1158.0555262565613,1178.6470866203308,-7.33344841003418,13.258111953735352,20.59156036376953
57612,1163.9734754562378,1165.8661308288574,1161.5894923210144,1168.6928896903992,-2.3839831352233887,4.719414234161377,7.103397369384766
61212,1157.2235441207886,1163.6424922943115,1163.1893091201782,1165.1368913650513,5.965764999389648,7.913347244262695,1.9475822448730469
64812,1163.9785342216492,1165.2621054649353,1160.8495516777039,1149.7257318496704,-3.1289825439453125,-14.25280237197876,-11.123819828033447
68412,1168.6454310417175,1175.2381105422974,1158.38618850708,1156.3342504501343,-10.259242534637451,-12.311180591583252,-2.051938056945801
72012,1156.214557647705,1165.7804346084595,1161.1805968284607,1168.7742133140564,4.966039180755615,12.559655666351318,7.593616485595703
75612,1153.7557654380798,1158.3736753463745,1167.080674648285,1157.9509224891663,13.324909210205078,4.195157051086426,-9.129752159118652
79212,1155.2569732666016,1161.6554536819458,1168.7346329689026,1147.7080388069153,13.477659702301025,-7.548934459686279,-21.026594161987305
82812,1143.5370287895203,1156.0001559257507,1164.063277721405,1153.2110359668732,20.526248931884766,9.674007177352905,-10.85224175453186
86412,1155.352017402649,1161.080171585083,1161.1871609687805,1154.2440485954285,5.835143566131592,-1.107968807220459,-6.943112373352051
90012,1150.2037014961243,1162.769546031952,1163.572081565857,1147.5055706501007,13.368380069732666,-2.6981308460235596,-16.066510915756226
93612,1146.0899176597595,1158.107048034668,1164.9665789604187,1156.8112330436707,18.87666130065918,10.721315383911133,-8.155345916748047
97212,1166.0587973594666,1165.5258479118347,1156.5754661560059,1139.1152305603027,-9.483331203460693,-26.94356679916382,-17.460235595703125
100812,1159.3972482681274,1165.9083790779114,1174.59503698349,1149.9595098495483,15.197788715362549,-9.437738418579102,-24.63552713394165
104412,1149.9424061775208,1165.0305652618408,1156.3830351829529,1149.5918292999268,6.440629005432129,-0.35057687759399414,-6.791205883026123
108012,1152.2471561431885,1165.1910004615784,1159.6917576789856,1149.0314645767212,7.444601535797119,-3.215691566467285,-10.660293102264404
111612,1145.259247303009,1158.2587203979492,1158.5441946983337,1153.751736164093,13.284947395324707,8.492488861083984,-4.792458534240723
115212,1162.6178755760193,1167.6305890083313,1159.0098600387573,1141.791434764862,-3.608015537261963,-20.826440811157227,-17.218425273895264
118812,1159.1505522727966,1160.2479157447815,1158.654372215271,1148.1022024154663,-0.49618005752563477,-11.048349857330322,-10.552169799804688
122412,1149.5846281051636,1157.1582894325256,1157.7469491958618,1144.9998154640198,8.162321090698242,-4.584812641143799,-12.747133731842041
126012,1157.3147263526917,1163.24169921875,1153.2412114143372,1149.9143924713135,-4.073514938354492,-7.400333881378174,-3.3268189430236816
129612,1155.54319190979,1160.7914743423462,1154.618935585022,1152.911548614502,-0.9242563247680664,-2.631643295288086,-1.7073869705200195
133212,1153.2943959236145,1164.9485363960266,1158.1896433830261,1145.8231110572815,4.895247459411621,-7.471284866333008,-12.366532325744629
136812,1155.7976460456848,1165.14652967453,1156.6086921691895,1142.9586153030396,0.8110461235046387,-12.839030742645264,-13.650076866149902
140412,1170.67139005661,1167.6291785240173,1153.7491188049316,1146.4059405326843,-16.922271251678467,-24.26544952392578,-7.3431782722473145
144012,1154.2527952194214,1166.6948523521423,1152.181580066681,1149.994649887085,-2.0712151527404785,-4.258145332336426,-2.1869301795959473
147612,1150.4220099449158,1160.9484596252441,1151.5074534416199,1143.3270301818848,1.0854434967041016,-7.094979763031006,-8.180423259735107
151212,1152.8306703567505,1165.077630519867,1153.5651025772095,1144.913411140442,0.7344322204589844,-7.917259216308594,-8.651691436767578
154812,1159.6490750312805,1164.1412391662598,1159.3758964538574,1156.1771636009216,-0.2731785774230957,-3.4719114303588867,-3.198732852935791
158412,1148.1150574684143,1160.1365804672241,1157.6255736351013,1148.153480052948,9.510516166687012,0.038422584533691406,-9.47209358215332
162012,1159.507375717163,1170.9092984199524,1149.2913193702698,1137.8218989372253,-10.21605634689331,-21.685476779937744,-11.469420433044434
165612,1168.3797082901,1172.0600066184998,1149.6650700569153,1152.2315549850464,-18.714638233184814,-16.14815330505371,2.5664849281311035
169212,1149.1647539138794,1160.9523620605469,1148.1312074661255,1156.9998259544373,-1.0335464477539062,7.835072040557861,8.868618488311768
172812,1154.8276648521423,1165.792932510376,1151.781644821167,1139.5149302482605,-3.046020030975342,-15.312734603881836,-12.266714572906494
176412,1147.5206727981567,1164.690577507019,1145.0673270225525,1148.1520657539368,-2.453345775604248,0.6313929557800293,3.0847387313842773
180012,1148.9452629089355,1161.0157647132874,1148.6651096343994,1156.9476127624512,-0.2801532745361328,8.002349853515625,8.282503128051758
183612,1146.5117826461792,1163.1874775886536,1146.4211168289185,1147.0188484191895,-0.09066581726074219,0.5070657730102539,0.5977315902709961
187212,1150.2213530540466,1167.1312942504883,1149.1065158843994,1149.011959552765,-1.1148371696472168,-1.2093935012817383,-0.09455633163452148
190812,1167.618703365326,1172.5036034584045,1148.6974964141846,1147.2482500076294,-18.921206951141357,-20.370453357696533,-1.4492464065551758
194412,1153.1420350074768,1163.9778952598572,1146.5436005592346,1152.435649394989,-6.5984344482421875,-0.706385612487793,5.8920488357543945
198012,1149.6872253417969,1163.5245547294617,1147.9997973442078,1145.209469795227,-1.6874279975891113,-4.477755546569824,-2.790327548980713
201612,1147.5358061790466,1162.2339978218079,1147.0293822288513,1150.5089588165283,-0.5064239501953125,2.9731526374816895,3.479576587677002
205212,1148.8634481430054,1163.277099609375,1140.2279896736145,1145.6014752388,-8.63545846939087,-3.2619729042053223,5.373485565185547
208812,1149.8739533424377,1163.9772124290466,1142.9587297439575,1150.0095510482788,-6.915223598480225,0.13559770584106445,7.050821304321289
212412,1156.68288564682,1168.5995626449585,1145.1025261878967,1144.79763174057,-11.58035945892334,-11.88525390625,-0.30489444732666016
216012,1152.8447680473328,1164.6138353347778,1143.7317070960999,1154.187656402588,-9.11306095123291,1.342888355255127,10.455949306488037
219612,1141.046275138855,1158.8615641593933,1141.954640865326,1144.73437833786,0.9083657264709473,3.688103199005127,2.7797374725341797
223212,1153.735357761383,1165.0799078941345,1143.8519539833069,1151.48770570755,-9.883403778076172,-2.247652053833008,7.635751724243164
226812,1150.912000656128,1163.2939519882202,1142.2662115097046,1146.334297657013,-8.64578914642334,-4.57770299911499,4.06808614730835
230412,1148.4919900894165,1161.378493309021,1141.4982767105103,1147.0198006629944,-6.99371337890625,-1.4721894264221191,5.521523952484131
234012,1145.9389743804932,1162.5076351165771,1141.9582362174988,1145.3684620857239,-3.9807381629943848,-0.5705122947692871,3.4102258682250977
237612,1146.768355846405,1163.559669971466,1142.3555226325989,1146.178310394287,-4.412833213806152,-0.5900454521179199,3.8227877616882324
241212,1150.2581067085266,1163.769284248352,1141.8480415344238,1148.028510093689,-8.410065174102783,-2.2295966148376465,6.180468559265137
244812,1147.7892470359802,1163.0918135643005,1141.7745065689087,1143.360122203827,-6.014740467071533,-4.42912483215332,1.585615634918213
248412,1153.3329420089722,1165.2531352043152,1139.7139511108398,1148.6121845245361,-13.618990898132324,-4.720757484436035,8.898233413696289
