{'family': 'R', 'seed': 90104, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 3.69425368309021, 'secs_gpu': 1.4549634456634521, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90104, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 1.6653345369377348e-16, 'label_mismatches': 0, 'secs_cpu': 4.774256944656372, 'secs_gpu': 2.272075653076172, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90104, 'r': 4, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 1.6653345369377348e-16, 'label_mismatches': 0, 'secs_cpu': 5.779736042022705, 'secs_gpu': 1.6485860347747803, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90110, 'r': 1, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5078125, 'auc_gpu': 0.5078125, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 1.807481050491333, 'secs_gpu': 1.3483686447143555, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90110, 'r': 2, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5078125, 'auc_gpu': 0.5078125, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 3.2917802333831787, 'secs_gpu': 1.6247327327728271, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90110, 'r': 3, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5078125, 'auc_gpu': 0.5078125, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 3.9132463932037354, 'secs_gpu': 1.299617052078247, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90110, 'r': 4, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5078125, 'auc_gpu': 0.5078125, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 4.677129745483398, 'secs_gpu': 1.4230358600616455, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90111, 'r': 1, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.548828125, 'auc_gpu': 0.548828125, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 1.80930757522583, 'secs_gpu': 1.122385025024414, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90111, 'r': 2, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.548828125, 'auc_gpu': 0.548828125, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 3.328943967819214, 'secs_gpu': 1.7647724151611328, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90111, 'r': 3, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.548828125, 'auc_gpu': 0.548828125, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 4.033609867095947, 'secs_gpu': 1.5646193027496338, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90111, 'r': 4, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.548828125, 'auc_gpu': 0.548828125, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 4.8286452293396, 'secs_gpu': 1.262141227722168, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90112, 'r': 1, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.50390625, 'auc_gpu': 0.50390625, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 1.7466561794281006, 'secs_gpu': 1.4414341449737549, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90112, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.5556640625, 'auc_gpu': 0.5556640625, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 3.271548271179199, 'secs_gpu': 1.293172836303711, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90112, 'r': 3, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.50390625, 'auc_gpu': 0.50390625, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 3.851073980331421, 'secs_gpu': 1.429478645324707, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90112, 'r': 4, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.50390625, 'auc_gpu': 0.50390625, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 4.683622360229492, 'secs_gpu': 1.423030138015747, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90113, 'r': 1, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5029296875, 'auc_gpu': 0.5029296875, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 1.8263919353485107, 'secs_gpu': 1.592811107635498, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90113, 'r': 2, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5029296875, 'auc_gpu': 0.5029296875, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 3.289865255355835, 'secs_gpu': 1.2524921894073486, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90113, 'r': 3, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5029296875, 'auc_gpu': 0.5029296875, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 4.085937261581421, 'secs_gpu': 1.399982213973999, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90113, 'r': 4, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5029296875, 'auc_gpu': 0.5029296875, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 4.722831726074219, 'secs_gpu': 1.8661887645721436, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90114, 'r': 1, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5224609375, 'auc_gpu': 0.5224609375, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 2.3816065788269043, 'secs_gpu': 1.492748737335205, 'auc_diff': 0.0}
