t_rel,util,mem_mib
180.11,97,15581
180.61,97,15581
181.12,97,15581
181.62,97,15581
182.13,97,15581
182.63,99,15581
183.15,98,15581
183.65,97,15581
184.16,96,15581
184.68,97,15581
185.19,96,15581
185.70,95,15581
186.21,96,15581
186.71,96,15581
187.22,99,15581
187.74,98,15586
188.25,98,15586
188.75,97,15586
189.26,97,15586
189.77,97,15586
190.28,97,15586
190.78,97,15586
191.28,97,15586
191.78,95,15585
192.29,95,15585
192.80,98,15585
193.31,97,15581
193.81,95,15581
194.33,96,15581
194.84,97,15581
195.35,96,15581
195.87,97,15581
196.38,95,15581
196.89,97,15581
197.40,97,15581
197.90,98,15581
198.41,98,15581
198.91,98,15581
199.42,97,15588
199.93,97,15590
200.44,97,15590
200.96,97,15590
201.47,96,15581
201.99,97,15581
202.50,96,15581
203.00,97,15581
203.51,96,15581
204.03,98,15581
204.54,97,15581
205.04,98,15581
205.55,97,15581
206.07,97,15581
206.58,95,15581
207.10,97,15581
207.61,95,15581
208.12,99,15581
208.63,98,15581
209.15,97,15581
209.66,96,15581
210.16,96,15581
210.67,98,15581
211.17,98,15581
211.69,98,15581
212.19,98,15581
212.70,99,15581
213.20,98,15581
213.72,97,15581
214.23,97,15581
214.74,97,15581
215.24,97,15581
215.76,97,15581
216.26,95,15581
216.77,97,15581
217.28,99,15581
217.79,98,15581
218.29,98,15581
218.80,96,15581
219.31,95,15581
219.82,98,15581
220.32,97,15581
220.83,97,15581
221.35,96,15581
221.85,98,15581
222.36,99,15581
222.87,97,15581
223.37,98,15581
223.88,98,15581
224.38,95,15581
224.89,96,15581
225.40,96,15581
225.90,98,15581
226.40,95,15581
226.92,97,15581
227.42,95,15581
227.93,98,15581
228.44,98,15581
228.95,98,15581
229.47,97,15581
229.97,97,15581
230.48,97,15581
230.99,98,15581
231.49,97,15581
232.00,97,15581
232.52,95,15581
233.03,97,15581
233.53,98,15581
234.04,98,15581
234.55,96,15581
235.06,98,15581
235.56,95,15581
236.07,95,15581
236.58,95,15581
237.09,97,15581
237.59,97,15581
238.09,98,15581
238.59,99,15581
239.11,98,15581
239.62,98,15581
240.13,97,15581
240.63,97,15581
241.15,98,15581
241.65,97,15581
242.16,97,15581
242.66,96,15581
243.17,100,15581
243.67,98,15581
244.18,97,15581
244.68,98,15581
245.19,96,15581
245.69,97,15581
246.20,99,15581
246.71,97,15581
247.21,97,15585
247.71,96,15585
248.22,98,15585
248.73,98,15585
249.23,97,15585
249.73,96,15585
250.24,98,15585
250.75,97,15585
251.26,97,15585
251.78,98,15585
252.30,95,15585
252.81,97,15581
253.31,98,15581
253.82,99,15581
254.33,98,15581
254.85,97,15581
255.35,97,15581
255.86,97,15581
256.37,97,15581
256.89,96,15581
257.39,97,15581
257.90,97,15581
258.42,100,15581
258.92,97,15581
259.44,98,15581
259.95,98,15581
260.46,97,15581
260.97,97,15581
261.49,97,15581
262.00,98,15581
262.52,97,15581
263.03,97,15581
263.53,98,15581
264.03,98,15581
264.54,98,15581
265.05,96,15581
265.55,96,15581
266.06,96,15581
266.56,97,15581
267.07,96,15581
267.57,97,15581
268.08,96,15581
268.60,96,15581
269.11,99,15581
269.63,98,15581
270.14,98,15581
270.65,98,15581
271.16,97,15581
271.68,97,15581
272.19,97,15581
272.70,94,15581
273.21,93,15581
273.73,99,15581
274.24,98,15581
274.74,98,15581
275.26,97,15581
275.76,97,15581
276.27,96,15581
276.78,95,15581
277.29,97,15581
