iteration,chkpt_index,d_core_0_0prime,d_dec_0_0prime,d_all_0_0prime,reln_all_0_0prime,d_core_0_1,d_dec_0_1,d_all_0_1,reln_all_0_1
144012,41,3.6599465105178997,1.3824524222865244,3.9123373013760028,0.5101752239036421,3.785479335052829,3.346056982580875,5.052321360205654,0.6720953315755229
147612,42,3.6989781701275946,1.4101729458482408,3.9586648305057133,0.5136096457985847,3.8122716314914737,3.376978175328356,5.092877044355063,0.6744361326892515
151212,43,3.726359821267179,1.4344222812163343,3.9929093150739448,0.515753913750288,3.8318477628851597,3.405823477783499,5.126664689615393,0.6761736162894814
154812,44,3.7321333070664635,1.456047152288811,4.006106879677981,0.515785583277612,3.8466866741801407,3.4294011593817584,5.1534251407470775,0.6776071473182047
158412,45,3.7383211288269016,1.478992949005284,4.020256833268373,0.5158953423754155,3.861723208812417,3.4528498169465722,5.180258487746389,0.6789907444901178
162012,46,3.7446149906816832,1.5003841120132089,4.034017093669744,0.5159482186127683,3.875281419807706,3.4751501371370264,5.2052353028802045,0.6801727318150661
165612,47,3.7507180794412,1.522132476442437,4.04781093769063,0.5160246557712562,3.8899661250948556,3.4979059755377393,5.231365277639111,0.6815208067645719
169212,48,3.757057395662593,1.544658504595479,4.062197701998534,0.5161800362717757,3.9035407529168764,3.5185608493958513,5.255273623759676,0.6825614592302659
172812,49,3.763277677375365,1.5686271343717264,4.077112944685129,0.5164478951031983,3.9164232141040194,3.5391718544189024,5.278646437021885,0.6836221353871219
176412,50,3.769134603406878,1.5875015009314484,4.089808879893872,0.5165958820250838,3.9288642086575973,3.556598416553765,5.299562837320026,0.6845401415472451
180012,51,3.7751912907800294,1.603825169767574,4.1017465130309345,0.5168881898780291,3.9381461232550907,3.5726185883840054,5.317198366261697,0.6853228987701105
183612,52,3.779827281930248,1.6209301353608259,4.112725226044785,0.5171329054163833,3.947630859091069,3.5863545653144615,5.333453709164451,0.6860081030320727
187212,53,3.7847421048982417,1.637534434371045,4.1238079276732185,0.5173440657644998,3.9566929121873367,3.6010426601278795,5.350039910263695,0.68669636084772
190812,54,3.789748772416466,1.6539959875164119,4.134960517919432,0.5175504317634623,3.96703171550653,3.6158128171821695,5.367629175039346,0.6875273753018498
194412,55,3.7952987571186907,1.6692776267277403,4.146176606330285,0.5177888163879155,3.9770480895098856,3.6296177995542735,5.3843325377539095,0.6882629628487713
198012,56,3.8002269848518804,1.6854675216243153,4.157225745956898,0.5179807910741742,3.986171510796246,3.6441443731391083,5.400865812604966,0.6889439585160163
201612,57,3.804255723223824,1.7007040565539437,4.167104017859443,0.5182214046796706,3.9943493334248608,3.6558281607787317,5.414785881138283,0.6895424585228632
205212,58,3.8071281924880007,1.7125266942300283,4.174562582174023,0.5184017503163327,3.9997761058484365,3.6635525467135848,5.424004623840925,0.6898363603331975
208812,59,3.8097020640675563,1.7234192911804984,4.181387792369147,0.5185212723427253,4.005946525012485,3.672165258162921,5.4343725713755004,0.6902670237794674
212412,60,3.8123645746397066,1.7336510249264532,4.188038863978747,0.5185870845060164,4.011717826173785,3.680508552862713,5.444265159278718,0.6906413368015285
216012,61,3.814857397050865,1.7441243282608838,4.1946521467536755,0.5186612147707996,4.017684654662139,3.688616015827384,5.45414320462215,0.6910022731997195
219612,62,3.81749611449584,1.7541904594785798,4.201245143087529,0.5187329697567081,4.023405355119833,3.697234712695485,5.464186597506299,0.6913717062216308
223212,63,3.820697470411098,1.7654783217520975,4.208876674955256,0.51892293864881,4.0297269973547,3.7057234147326743,5.474585436332816,0.6917859974866272
226812,64,3.8232410717686376,1.7735306722805946,4.214567989530917,0.519070052297526,4.034596366947933,3.7114247133871703,5.482028935287604,0.6920840759854134
230412,65,3.8247343883270135,1.778371657300256,4.217961461741934,0.5191389950411194,4.038138245910989,3.714639957765344,5.486812417872152,0.6922616682376551
234012,66,3.8261856434385098,1.7834275879099082,4.221410965467963,0.5192021605531263,4.041310913981535,3.7183997575377323,5.491692877458002,0.6924446249656097
237612,67,3.8278518489943245,1.7879626732251925,4.224838493800192,0.5192747809028303,4.044505823917871,3.722070269634372,5.496529309646379,0.692629604305333
241212,68,3.829786752932119,1.7930636341354467,4.228752034465181,0.5193912083079836,4.047393333753499,3.725789814156832,5.501172832895463,0.692785345251883
244812,69,3.831134014809003,1.7976704502832945,4.231927089075182,0.5194265634997332,4.050682154887418,3.7293450941862996,5.506000431479719,0.6929686919839297
248412,70,3.832987472009173,1.8020642769861177,4.23547265591089,0.5195049526715427,4.054184528049548,3.732383254729846,5.510634895151751,0.6931182551008747
250008,71,3.833952443525771,1.8040671415635108,4.237198318522088,0.5195552888215629,4.0553825999309545,3.7337274807766705,5.512426773439234,0.6931571559865578
