iteration,chkpt_index,d_core_0_0prime,d_dec_0_0prime,d_all_0_0prime,reln_all_0_0prime,d_core_0_1,d_dec_0_1,d_all_0_1,reln_all_0_1
0,0,0.0,0.0,0.0,0.0,0.556595243308302,0.0,0.556595243308302,0.11259550157952149
12,1,1.4405079862933813e-08,0.00036903411641450484,0.00036903411669565267,7.450800833987997e-05,0.5574337337014789,0.017198761210800714,0.5576989912628122,0.11282292298632499
3612,2,0.01169187979505923,0.016833227651672972,0.020495306933909562,0.0041036606290171425,0.5655869204660204,0.3296170674291887,0.6546265926028791,0.13143690413113984
7212,3,0.021629398085599775,0.023192418480938826,0.03171307516688247,0.006314859773249594,0.5738953011165334,0.48924320724309167,0.7541317739474609,0.15061877546646665
10812,4,0.036115747744756614,0.040957030819849354,0.05460609497795068,0.010795178995295944,0.5890405776025955,0.5925460746559766,0.8355116113212346,0.16576006615136474
14412,5,0.04731418209160511,0.05485435378443313,0.07244054083250144,0.014201105781873743,0.6255870192991718,0.7103957555593907,0.94658398900067,0.18630149972525373
18012,6,0.08393742715438673,0.08340637455090055,0.11833053280123007,0.02295998428588071,0.9081476868964774,0.8331418575103126,1.2324193993731023,0.2398389939467899
21612,7,0.18487814221724305,0.13061667107310238,0.22636395965771094,0.043109953475910484,1.2400911121199407,1.0966465546680606,1.6554333668934562,0.3153556757370612
25212,8,0.29963223622317475,0.29469082840880995,0.4202643945570101,0.07803294673039499,1.4568517849935794,1.4553792960425593,2.059258609011583,0.38047691219919944
28812,9,0.3956768102181445,0.4090981383306802,0.5691409534816786,0.10366010135746172,1.706767571777133,1.5996510720820774,2.339217624865919,0.42279765861760793
32412,10,0.5033740102677501,0.41837006682327704,0.6545371700879564,0.11698945429559757,1.9272536067684725,1.7137196501256076,2.5789807102862814,0.4570136808851756
36012,11,0.6182369603690181,0.4245436292630998,0.7499694875887996,0.13177947676785967,2.1090826661072173,1.817812461476028,2.7843620162564147,0.4843001144503064
39612,12,0.7477895937797338,0.4420513512667122,0.8686763918295372,0.1501914657724338,2.250345534185459,1.9293466879180932,2.964191907655268,0.5066098460350218
43212,13,0.9211172463038336,0.47740347666012345,1.0374830412905702,0.1764882329067434,2.3799328401692414,2.0197685107867867,3.1214652266014324,0.5249558997455307
46812,14,1.1130246890198898,0.5179348108402876,1.2276320404127574,0.20553635951018764,2.503873884884261,2.1066128751298767,3.2721861556256835,0.5421609093891674
50412,15,1.2856341065262153,0.5670429617909574,1.4051308751785812,0.231588263404458,2.621483143287332,2.18813943468779,3.4146929666040915,0.5579638014081719
54012,16,1.4703019354087625,0.6116626044630299,1.5924568826078926,0.2588458275703989,2.7290839856759046,2.2559669829543085,3.540803076853141,0.571499150994245
57612,17,1.6770057419812243,0.6568752606583331,1.8010645093119109,0.2889330854737935,2.8259501918587997,2.3181449457174623,3.6551047148094424,0.5831579954630027
61212,18,1.9113472506573346,0.6987578974678926,2.0350702474040343,0.3221627009201219,2.9145707115186106,2.373748104721303,3.7589097484656486,0.592991421919729
64812,19,2.158597674159437,0.7401716262522584,2.2819723826539735,0.35643343296541086,2.9990722880221634,2.4274203678706106,3.858342160972196,0.6020249177921942
68412,20,2.360781665965117,0.7785956193018857,2.4858602560789964,0.38321439451495304,3.0699257933371746,2.482280247055365,3.9479310532883094,0.6094018099682394
72012,21,2.511553847485534,0.8070641340162804,2.6380400385958627,0.4016932725085449,3.1305869562376127,2.5381945053140713,4.030261286488956,0.6156259070923229
75612,22,2.6388057517475074,0.8389421254101065,2.768956425305999,0.41676005369957997,3.164963993057403,2.591802534836802,4.090774676871895,0.6186420996483326
79212,23,2.7333358723775825,0.8696513222737083,2.8683476800343706,0.4273442372108787,3.1987973776362755,2.638055956216334,4.146280729919431,0.6214603397925466
82812,24,2.8291418608884444,0.9004488616093614,2.968981613517495,0.4379713749793906,3.228272886021768,2.684704452806972,4.198735979499654,0.6238308580684025
86412,25,2.9144485835291545,0.92820175524542,3.058687470873051,0.4468357771772935,3.260512311524552,2.7325068339237863,4.254119665811412,0.6266037469456729
90012,26,2.9847302133985547,0.9598588988159943,3.1352740793127585,0.45378082904908734,3.293917776694531,2.7786952712811614,4.309413153813935,0.6294984296550614
93612,27,3.0513330816127446,0.9892886195537974,3.2076978579228754,0.4598760818020318,3.3279757032464063,2.827395282839601,4.366873752104824,0.6325342233713954
