item,seed0,seed0prime,seed1,seed2,seed0prime_minus_seed0
sequence_02_ambush_2_split_00,4198.97509765625,4203.91650390625,4201.4619140625,4209.50830078125,4.94140625
sequence_02_ambush_2_split_01,4500.8623046875,4504.06494140625,4505.931640625,4515.8603515625,3.20263671875
sequence_02_ambush_2_split_02,4900.189453125,4899.57421875,4905.34375,4921.2509765625,-0.615234375
sequence_07_bamboo_1_split_00,95.98670196533203,97.09983825683594,117.683349609375,114.76419067382812,1.1131362915039062
sequence_07_bamboo_1_split_01,79.75125885009766,80.4753646850586,105.19554901123047,96.21202850341797,0.7241058349609375
sequence_07_bamboo_1_split_02,107.03176879882812,105.37664794921875,123.6302261352539,118.55708312988281,-1.655120849609375
sequence_09_bandage_1_split_00,747.3994140625,748.5961303710938,720.5003662109375,773.54833984375,1.19671630859375
sequence_09_bandage_1_split_01,756.7243041992188,753.7297973632812,722.864013671875,785.363037109375,-2.9945068359375
sequence_09_bandage_1_split_02,610.5629272460938,610.8262329101562,576.88916015625,641.9248657226562,0.2633056640625
sequence_12_cave_4_split_00,1188.278076171875,1188.896728515625,1187.2501220703125,1194.781005859375,0.61865234375
sequence_13_market_2_split_00,719.6026000976562,719.9326782226562,725.3411254882812,759.177734375,0.330078125
sequence_13_market_2_split_01,466.54400634765625,466.24542236328125,469.2151794433594,490.0640563964844,-0.298583984375
sequence_13_market_2_split_02,220.4550018310547,219.98870849609375,227.38327026367188,225.9443817138672,-0.4662933349609375
sequence_16_mountain_1_split_00,171.23435974121094,170.21243286132812,186.3102264404297,171.02122497558594,-1.0219268798828125
sequence_16_mountain_1_split_01,100.24111938476562,98.24374389648438,103.3669204711914,78.91758728027344,-1.99737548828125
sequence_16_mountain_1_split_02,220.15057373046875,218.01905822753906,200.19859313964844,198.7558135986328,-2.1315155029296875
