iteration,pair,d_core,d_decoder,d_all,reln_core,reln_decoder,reln_all,meannorm_core,meannorm_decoder,meannorm_all
0,"(0,0')",0.0,0.0,0.0,0.0,0.0,0.0,4.06480753177656,2.829423086167104,4.952604897518452
0,"(0,1)",0.556595243308302,0.0,0.556595243308302,0.13731291760070907,0.0,0.11259550157952149,4.053480568571269,2.829423086167104,4.943316877674746
0,"(0,2)",0.5383561516467549,0.0,0.5383561516467549,0.13196738196945457,0.0,0.10843793088409467,4.079463755455601,2.829423086167104,4.9646479535116175
0,"(1,2)",0.6071763548123399,0.0,0.6071763548123399,0.14925170558890605,0.0,0.12252921340527397,4.06813679225031,2.829423086167104,4.955359933667912
0,"(0',1)",0.556595243308302,0.0,0.556595243308302,0.13731291760070907,0.0,0.11259550157952149,4.053480568571269,2.829423086167104,4.943316877674746
0,"(0',2)",0.5383561516467549,0.0,0.5383561516467549,0.13196738196945457,0.0,0.10843793088409467,4.079463755455601,2.829423086167104,4.9646479535116175
25212,"(0,0')",0.29963223622317475,0.29469082840880995,0.4202643945570101,0.07094497391807686,0.08817945339164183,0.07803294673039499,4.22344557585112,3.3419443767695487,5.38573015842949
25212,"(0,1)",1.4568517849935794,1.4553792960425593,2.059258609011583,0.34264427224922395,0.4345837004222403,0.38047691219919944,4.251790860037874,3.3489044679506317,5.412308981138531
25212,"(0,2)",2.933653222756888,1.4016004330489966,3.2512774420702732,0.6567503175765821,0.4250562253902755,0.5852708740769391,4.466923188681674,3.297447135992618,5.5551669937411985
25212,"(1,2)",1.9293523746919392,1.7525115631244648,2.6064722067603916,0.4288612607837896,0.5303483466188041,0.46673095882912163,4.498779794579352,3.304453712918066,5.5845282114972505
25212,"(0',1)",1.304529571076923,1.4567922095034815,1.9555155185996798,0.3065656715690169,0.43499956542993257,0.36112327248984843,4.255302181748798,3.348950953694996,5.415091376185542
25212,"(0',2)",2.754009746277141,1.4034957718013485,3.0910144069631516,0.6160496792593169,0.4256250148747961,0.5561429568247797,4.4704345103925975,3.297493621736983,5.557949388788209
82812,"(0,0')",2.8291418608884444,0.9004488616093614,2.968981613517495,0.584790733564585,0.1896440972377337,0.4379713749793906,4.837870538138393,4.74809854208422,6.778939864864924
82812,"(0,1)",3.228272886021768,2.684704452806972,4.198735979499654,0.6754839421277609,0.5665057109678863,0.6238308580684025,4.779200044123585,4.739059820279836,6.730567949941435
82812,"(0,2)",4.948069044168584,2.415742521487067,5.506287242414813,0.9910364378202594,0.5068450020186077,0.7975008026164231,4.992822519272492,4.766235262981597,6.904428464961925
82812,"(1,2)",2.9160504802004463,3.0526404924901382,4.221606848045863,0.5799029622655776,0.6420073063304679,0.6099047970683948,5.028514544585109,4.754837620054774,6.921747243729994
82812,"(0',1)",1.8371063828140062,2.6835743656070346,3.252157935512845,0.3769534829800432,0.5665492550066674,0.4785218023683658,4.87356256345101,4.7367008991573964,6.796258643632993
82812,"(0',2)",3.2875042677875292,2.467231490427543,4.110342508609053,0.6462324925952188,0.5179041841931348,0.5897090731233791,5.087185038599918,4.7638763418591585,6.970119158653484
151212,"(0,0')",3.726359821267179,1.4344222812163343,3.9929093150739448,0.7087991866908604,0.25240731628766383,0.515753913750288,5.257285689991084,5.682966335181625,7.7418885414550385
151212,"(0,1)",3.8318477628851597,3.405823477783499,5.126664689615393,0.7529308870733464,0.6060336695284018,0.6761736162894814,5.089242357661284,5.619858514517542,7.581876260934413
151212,"(0,2)",5.414601588345681,2.9210051616748958,6.152250118050057,1.0059303936669082,0.5157128794821061,0.7872305206326773,5.3826801759194165,5.664014372897288,7.815055383149588
151212,"(1,2)",3.378370690318002,3.7070065535413455,5.015504571745327,0.6394062215552622,0.6601827044634209,0.6503242854832547,5.283606221566956,5.615122190385619,7.712313200818442
151212,"(0',1)",2.6333276119374904,3.3549240323822356,4.264965366195639,0.510511732921616,0.5954703366465911,0.5583039211052336,5.1582117356386235,5.634074152669955,7.6391463591238935
151212,"(0',2)",3.526948546506114,3.00108436245692,4.630968948317954,0.6469507094389634,0.5285246206329932,0.5882593344616431,5.451649553896756,5.678230011049701,7.872325481339067
250008,"(0,0')",3.833952443525771,1.8040671415635108,4.237198318522088,0.714438585225661,0.2937703756384702,0.5195552888215629,5.3663849109084545,6.14107919371589,8.155432943686808
250008,"(0,1)",4.0553825999309545,3.7337274807766705,5.512426773439234,0.7814273844403455,0.6196326579739506,0.6931571559865578,5.18971139312631,6.025711254447206,7.952636318950641
250008,"(0,2)",5.559765888135367,3.1405461134739108,6.385454300339936,1.0113772237842418,0.5163680376530506,0.7787607368477345,5.497222754663731,6.0819916890054575,8.199507240422726
250008,"(1,2)",3.527355915047312,3.95766484045772,5.301447985297459,0.6570268008625354,0.6592446289881247,0.6580734496425862,5.36866366853932,6.003332702963912,8.05601257454892
250008,"(0',1)",2.892275822398756,3.715526939965432,4.708545409618697,0.5521901489570828,0.6128784895613126,0.5876911736399417,5.237825824784043,6.062420207674345,8.011938277813003
250008,"(0',2)",3.742145925264574,3.239584054675435,4.949602102521131,0.6748274810944277,0.5294562104109367,0.5993118357728358,5.545337186321463,6.1187006422325965,8.25880919928509
