# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json
pair_birth_id,src,tar,du,dv,n_syn,n_syn_json,sign,provenance,json_index,json_offset_order
2fdbc141abac,L1,Tm3,0,1,11.571428298950195,11.571428571428571,-1,in_json,49,1
2fdbc141abac,L1,Tm3,-1,1,13.214285850524902,13.214285714285714,-1,in_json,49,2
2fdbc141abac,L1,Tm3,-1,-1,1.125,1.125,-1,in_json,49,3
2fdbc141abac,L1,Tm3,-1,2,2.909090995788574,2.909090909090909,-1,in_json,49,4
2fdbc141abac,L1,Tm3,1,0,4.916666507720947,4.916666666666667,-1,in_json,49,5
2fdbc141abac,L1,Tm3,0,-1,5.07692289352417,5.076923076923077,-1,in_json,49,6
2fdbc141abac,L1,Tm3,0,2,1.1111111640930176,1.1111111111111112,-1,in_json,49,7
2fdbc141abac,L1,Tm3,1,-2,2.555555582046509,2.5555555555555554,-1,in_json,49,8
2fdbc141abac,L1,Tm3,1,-1,4.333333492279053,4.333333333333333,-1,in_json,49,9
2fdbc141abac,L1,Tm3,0,0,11.399999618530273,11.4,-1,in_json,49,10
c36783088642,L2,R1,0,0,1.0,1,1,in_json,50,0
97e3ab94a0e7,L2,R2,0,0,2.0,2,1,in_json,51,0
3d0f94634994,L2,L1,0,0,3.0,3,1,in_json,52,0
94abb6aadd00,L2,L4,0,0,5.0,5,1,in_json,53,0
94abb6aadd00,L2,L4,-1,1,5.0,5,1,in_json,53,1
94abb6aadd00,L2,L4,0,1,3.0,3,1,in_json,53,2
0ede4ef8f3e2,L2,L5,0,0,43.0,43,1,in_json,54,0
6037ceadfb3d,L2,Lawf2,0,1,5.0,5,1,in_json,55,0
6037ceadfb3d,L2,Lawf2,-1,1,5.0,5,1,in_json,55,1
6037ceadfb3d,L2,Lawf2,0,0,5.0,5,1,in_json,55,2
6037ceadfb3d,L2,Lawf2,-2,1,5.0,5,1,in_json,55,3
6037ceadfb3d,L2,Lawf2,-1,0,5.0,5,1,in_json,55,4
6037ceadfb3d,L2,Lawf2,-2,0,5.0,5,1,in_json,55,5
6037ceadfb3d,L2,Lawf2,-1,2,5.0,5,1,in_json,55,6
6037ceadfb3d,L2,Lawf2,-2,2,5.0,5,1,in_json,55,7
6037ceadfb3d,L2,Lawf2,2,-1,5.0,5,1,in_json,55,8
6037ceadfb3d,L2,Lawf2,2,-2,5.0,5,1,in_json,55,9
6037ceadfb3d,L2,Lawf2,2,0,5.0,5,1,in_json,55,10
