# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json; birth_id=sha256('cs-birth-v1|type|NAME' or 'cs-birth-v1|pair|SRC->TAR')[:12]; next_display_no=671; rule=REGISTRY.md
birth_id,display_no,kind,birth_key,generation_born,parent_ids,src_birth_id,tar_birth_id,expressed_in_compiled_bank,content_sha256
3c304e466112,41,type,type:T5b,0,,,,True,4203eb2daa93959c3a36fad216486f59fbbe200538fd61054e77ec214cd475fd
4236c6342cc5,42,type,type:T5c,0,,,,True,126ec788857ca7e95b81eb59da78320a97f7411e62e20575ce9adf29df3bdc1a
f0bbaae7f4af,43,type,type:T5d,0,,,,True,465aca4550d679adc15dac07e1af061cd92a32cdacaedb96d71485ae61c40e8b
6b080cbcddcf,44,type,type:Tm1,0,,,,True,049e1c8e673021ed227b01258cc35d70ea885cc80dd7d4b7963000209e01c614
7a0908bbdc11,45,type,type:Tm16,0,,,,True,9c511daa269a43aa954c6c0f5b9757bb23d149b3e3c3ab81a7e1dc53d0df5d8a
1716679973ed,46,type,type:Tm2,0,,,,True,2b6d19b84bd3684d4bfe360863ea7213cd0e7a9892ad02dfb9eca1386ec29569
5202f2beeefe,47,type,type:Tm20,0,,,,True,858df91b58c5d33d2508aca5be1eb89c3d1db3156990254b2e76666731f424b4
0a8ba80929dc,48,type,type:Tm28,0,,,,True,a6565290366fbbdaba2d8afe8fba32a7a30152e8efa33b359ee35e638b9cccda
1d04dc9e4e44,49,type,type:Tm3,0,,,,True,e3900404f958a55d343e2f1f59c2700cf6f5f4777f098808fe4a0dd8cf161cef
fabbe5261153,50,type,type:Tm30,0,,,,True,b2cc27814c41bccc30e2c6d4ef6f9adfc829c8d3eb5438b4caab8ca6722a6e27
8f9d79739978,51,type,type:Tm4,0,,,,True,6b4d5259adb1aab0adb08a495916cb0d8a050d62cebf099208ad3167a7e68cc3
05257d37421c,52,type,type:Tm5Y,0,,,,True,22526767b7b72c4e5e25f4897f98ee0c58a2cb23d5485e6573b61915522eab61
e2174a9084c8,53,type,type:Tm5a,0,,,,True,46d725a286294dfe56415e4d9973b1bf61b85d31d354cfd5816731959e151ec0
5bd7d91f26e1,54,type,type:Tm5b,0,,,,True,86719f6aee562fbd6b6b6ad94cfbde7e8893ebc2fac97bedff40cb6473b22088
2455576c666d,55,type,type:Tm5c,0,,,,True,d93e6bcef748da46c1952bfe07a51d8289e74b2d50f08c4a4fb35b4cfc81fe16
d00cef6913df,56,type,type:Tm9,0,,,,True,a3bdb5935121df330a3925ea1f49b4b4aa679ee3ca0c2e9c5d2adbbb0b65b6b7
d1d3392c46d1,57,type,type:TmY10,0,,,,True,e0c21edbafac0759bdeccd91b6679a44951e31c00c14ebfc6efbdd82c5d6cd9d
e8c21941580e,58,type,type:TmY13,0,,,,True,42bc3990e11ede6c4043a6491aef60e91461b621381055b438f9ad366b0b1d45
28a670a5d3c8,59,type,type:TmY14,0,,,,True,b10af942dfe1d429e30c6ac7f71725566f4edeed89ea9ba679f97fd49f1d3db7
18fb00442a43,60,type,type:TmY15,0,,,,True,66d5a53bf4c19cd047eac9a32116fe889357f59d864926534a5079142b1719da
dd5eb1fb0caf,61,type,type:TmY18,0,,,,True,a9f26e42f3a886015518bddbf0f0b226cd80229d015f9ca457d20e6b349efd44
607b8ed34a33,62,type,type:TmY3,0,,,,True,6c6d674e16768676e4e730925c1a10eab635249ee53bd8d0e46b0a5868adfdbb
887ba31d1e5d,63,type,type:TmY4,0,,,,True,dab55e620a05e8a1e8df0c402d101a12521932fb8d1aa3409ff77c305f3a5016
3ad6ff7262ce,64,type,type:TmY5a,0,,,,True,2db15da4f540896ec26333365de2dc8421940b6a828c2bba7c007d035a7f9b80
7af2610d274e,65,type,type:TmY9,0,,,,True,78ddf0530b18a08fdef6ecb24f3ad51e6082a99ee7629191d402d2a18ad2bc60
21ffbb33d36c,66,pair,pair:Am>C2,0,,ae7eec9cc6aa,ac7377b4f393,True,fdf92970bc67c4a1888cfdc7ff323b5f32e17b6b29281a647b9d9ca1c5a557b3
e8e99be360fe,67,pair,pair:Am>C3,0,,ae7eec9cc6aa,6182a4f16e6d,True,4982ba64c3720d75fd59d00c72c978c48d6929594d1e40d782d1c697838be731
7f36cc9fe4e0,68,pair,pair:Am>L1,0,,ae7eec9cc6aa,ad5110ebac00,True,d6a6596b5655b8476f583a2631c744cd3acdaffd11f04f075baa2336a1cd0469
51e1a8237a96,69,pair,pair:Am>L2,0,,ae7eec9cc6aa,36f25ce16c8f,True,478a882442cb49d437af29eb477736c4050fa49d71c2e00fbdaff803d2e305e9
e6842946cc29,70,pair,pair:Am>L3,0,,ae7eec9cc6aa,fd5e84317740,True,cdc7ceade300c0706b332196b2c29518c99a741e040f1afe11a7e5808c0ce53f
f356949efd24,71,pair,pair:Am>L4,0,,ae7eec9cc6aa,7c19534e0d84,True,44f62fb755974ba1da9c3b11b8c281d82f8ac10e3dbe006183fe1ad26ea6196c
f087ac945f65,72,pair,pair:Am>R1,0,,ae7eec9cc6aa,9654b247b494,True,39b34bdc8b8e0752299917724aa5b55cd4f66f54e33d53ea498d508ecdac2ca6
9b8688e42334,73,pair,pair:Am>R2,0,,ae7eec9cc6aa,b075082bb026,True,e64b643732cf533bdc34a8023e9be560e6c57e545c340a404ed46f71bdf128db
1e83a82e5c40,74,pair,pair:Am>R4,0,,ae7eec9cc6aa,d54d0db004dc,True,09c0a0ab8aeb7b0b62625ab853b91f4ed12f4219c2556451bf71ce32138969c5
c76d4e39de2d,75,pair,pair:Am>R5,0,,ae7eec9cc6aa,bf135de1db2a,True,6b0842d327819a83467cd67e2492d23271fdb8f351437ff82b08d20a384a7530
99c796503da4,76,pair,pair:Am>T1,0,,ae7eec9cc6aa,7fccce4faa2f,True,38e062d2257fd0216d1fa7bc844b2bd96e971d46c15e75373d39026aeff55820
d29ae87a9af9,77,pair,pair:C2>Am,0,,ac7377b4f393,ae7eec9cc6aa,True,cb5cf1e0999a2dc2a5e18de52d9a15d9eb8b5b18dc6092c45adcbbff849a3c2a
df940f36bde0,78,pair,pair:C2>L1,0,,ac7377b4f393,ad5110ebac00,True,f77409f8393d800817f15dbb13c9c7ea1c72a0ca97c849d4d0f66ea3b370d8ab
72c62138dfc1,79,pair,pair:C2>L2,0,,ac7377b4f393,36f25ce16c8f,True,7fcfcba3e351565b9b52b17008e3eee77f73ae7f7c6d1c84c752eb222a91903f
c62711971002,80,pair,pair:C2>L3,0,,ac7377b4f393,fd5e84317740,True,66d4789414c7569cfdfac7867ff08718d111abae844cca2246aca6f0e79b7dd0
1ca0d8f910da,81,pair,pair:C2>L4,0,,ac7377b4f393,7c19534e0d84,True,ad673a00880b4b2b964608eb5d1171066484c99ad20c8954d5c43f4424d1b556
86123b231217,82,pair,pair:C2>L5,0,,ac7377b4f393,cc98a8db805e,True,1fc1287ad4f3f650d2df474328cfa37155b4ffe7f77df8b205cb5bcaeb9e3b97
238b249ef926,83,pair,pair:C2>Lawf2,0,,ac7377b4f393,3a1e8d7d01c3,True,2af4ba5f6c9dbd5d2a2e1bd12c1921291966d553a16bbf88be70a0f6449a289a
c5440d266bfa,84,pair,pair:C2>Mi1,0,,ac7377b4f393,af1ee12c7a13,True,8e5a80d7e8997742860ee48169a8e6de059e7ccf046ea06861f9700d13bef5ed
78302d5f04f0,85,pair,pair:C2>T1,0,,ac7377b4f393,7fccce4faa2f,True,de162059f830721b28c09b3afacc8a5342571a713b449df2aa40fb44ebe012b2
749598e6d533,86,pair,pair:C2>T2,0,,ac7377b4f393,2c81c87fcf2c,True,03e1ddd6119706f77550fd76d9c3fe5c9ab370e8fb8c5c97ed395e2a91afc1a0
24a1f6bafcf6,87,pair,pair:C2>T4a,0,,ac7377b4f393,a722a78be07c,True,f04effb799a19211e19bbe2dffe6645236b16192916e0a04f5cca555cc3f8c86
3b0ff6ce6d57,88,pair,pair:C2>Tm1,0,,ac7377b4f393,6b080cbcddcf,True,e7decd510508016cbef907b35fc9a8f03301d80828c9adee84a49005df8872f8
96d1c15752ca,89,pair,pair:C2>Tm9,0,,ac7377b4f393,d00cef6913df,True,b6265cec6a402dd3730e5b9b26170e053407c66aee4673262e193e1836abe451
f5f8434ea743,90,pair,pair:C2>TmY14,0,,ac7377b4f393,28a670a5d3c8,True,cd30eec652a11161967fe0d85738d2d69011084789dc5e94ec57d351a23a9753
1d7d4262e341,91,pair,pair:C3>Am,0,,6182a4f16e6d,ae7eec9cc6aa,True,bf0705a3cca8d23eec897620f37b83e03dac60fd7001139ce6f73a847184b9ba
cf8f8cc4a817,92,pair,pair:C3>CT1(M10),0,,6182a4f16e6d,63667a4a1a53,True,972fb255b502425d11278a83887f7cb1d0c021a9a179e7c42ace8e4ea064a581
