# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=fb2303d241ed0966033b63a3d9f9b64ec1e47cea5376932360b8cfb96ae93943; see bank.meta.json
json_index,birth_id,src,tar,alpha,alpha_fixed,alpha_references,lambda_mult,edge_type,n_offsets_json,n_synapses_json_total,instantiated,n_offsets_compiled,n_offsets_hull_filled,n_offsets_dropped,n_synapses_compiled_total,note
52,132,L2,L1,1,True,NernPC2018,5.859477042231124,chem,1,3.0,True,1,0,0,3.0,
53,133,L2,L4,1,True,NernPC2018,5.859477042231124,chem,3,13.0,True,3,0,0,13.0,
54,134,L2,L5,1,True,NernPC2018,7.434847751855453,chem,1,43.0,True,1,0,0,43.0,
55,135,L2,Lawf2,1,True,NernPC2018,5.859477042231124,chem,19,95.0,True,19,0,0,95.0,
56,131,L2,C3,1,True,NernPC2018,5.425474985324995,chem,1,4.875,True,1,0,0,4.875,
57,136,L2,Mi1,1,True,NernPC2018,44.94563111246254,chem,1,1.5714285714285714,True,1,0,0,1.5714285373687744,
58,137,L2,Mi4,1,True,NernPC2018,4.181223070219746,chem,1,4.571428571428571,True,1,0,0,4.5714287757873535,
59,138,L2,Mi9,1,True,NernPC2018,32.33709170596515,chem,1,1.0,True,1,0,0,1.0,
60,141,L2,T1,1,True,NernPC2018,45.80596071917709,chem,1,139.6,True,1,0,0,139.60000610351562,
61,142,L2,Tm1,1,True,NernPC2018,61.46393447834402,chem,1,144.0909090909091,True,1,0,0,144.09091186523438,
62,143,L2,Tm2,1,True,NernPC2018,12.591385514805852,chem,1,123.16666666666667,True,1,0,0,123.16666412353516,
63,145,L2,Tm4,1,True,NernPC2018,2.003128504724855,chem,7,73.9186507936508,True,7,0,0,73.91865158081055,
64,144,L2,Tm20,1,True,NernPC2018,22.177141679644365,chem,1,10.0,True,1,0,0,10.0,
65,146,L2,TmY3,1,True,NernPC2018,2.110650539123765,chem,4,9.433333333333334,True,4,0,0,9.433333158493042,
66,148,L3,Lawf1,1,True,NernPC2018,1.1511236514437997,chem,1,1.0,True,1,0,0,1.0,
67,147,L3,C3,1,True,NernPC2018,38.29462202945821,chem,1,4.363636363636363,True,1,0,0,4.363636493682861,
68,149,L3,Mi1,1,True,NernPC2018,38.222944633276555,chem,1,14.142857142857142,True,1,0,0,14.142857551574707,
69,152,L3,Mi2,1,True,NernPC2018,2.0384864613732856,chem,3,7.183333333333334,True,3,0,0,7.183333158493042,
70,153,L3,Mi9,1,True,NernPC2018,3.4667080961379835,chem,1,36.714285714285715,True,1,0,0,36.71428680419922,
71,150,L3,Mi13,1,True,NernPC2018,2.7610361372349157,chem,2,2.142857142857143,True,2,0,0,2.1428571939468384,
72,151,L3,Mi15,1,True,NernPC2018,3.7450477494348617,chem,2,2.892857142857143,True,2,0,0,2.8928571939468384,
73,156,L3,Tm3,1,True,NernPC2018,2.459837745605825,chem,1,1.2666666666666666,True,1,0,0,1.2666666507720947,
74,157,L3,Tm5Y,1,True,NernPC2018,5.626343228361033,chem,2,2.4107142857142856,True,2,0,0,2.410714268684387,
75,158,L3,Tm5a,1,True,NernPC2018,2.2634125522775035,chem,1,1.1666666666666667,True,1,0,0,1.1666666269302368,
76,159,L3,Tm5c,1,True,NernPC2018,1.3747401393825174,chem,5,38.666666666666664,True,5,0,0,38.666666746139526,
77,160,L3,Tm9,1,True,NernPC2018,4.392037595768652,chem,1,24.0,True,1,0,0,24.0,
78,154,L3,Tm20,1,True,NernPC2018,2.3709935787379846,chem,1,20.3,True,1,0,0,20.299999237060547,
79,155,L3,Tm28,1,True,NernPC2018,2.5474028494398695,chem,3,5.6,True,3,0,0,5.600000023841858,
80,162,L3,TmY9,1,True,NernPC2018,3.318918252332967,chem,1,1.3333333333333333,True,1,0,0,1.3333333730697632,
81,161,L3,TmY10,1,True,NernPC2018,1.3138167772570006,chem,6,20.166666666666668,True,6,0,0,20.166666507720947,
82,169,L4,R1,1,False,,5.859477042231124,chem,2,2.0,True,2,0,0,2.0,
83,170,L4,R2,1,False,,5.859477042231124,chem,1,1.0,True,1,0,0,1.0,
84,171,L4,R3,1,False,,5.859477042231124,chem,2,4.0,True,2,0,0,4.0,
85,172,L4,R4,1,False,,5.859477042231124,chem,2,2.0,True,2,0,0,2.0,
86,173,L4,R5,1,False,,5.859477042231124,chem,2,4.0,True,2,0,0,4.0,
87,174,L4,R6,1,False,,5.859477042231124,chem,2,4.0,True,2,0,0,4.0,
88,164,L4,L2,1,False,,5.859477042231124,chem,3,15.0,True,3,0,0,15.0,
89,165,L4,L3,1,False,,5.859477042231124,chem,2,2.0,True,2,0,0,2.0,
90,166,L4,L4,1,False,,5.859477042231124,chem,4,9.0,True,5,1,0,10.0,
91,167,L4,L5,1,False,,5.859477042231124,chem,3,7.0,True,3,0,0,7.0,
92,163,L4,Am,1,False,,5.859477042231124,chem,3,3.0,True,3,0,0,3.0,
93,168,L4,Mi9,1,False,,6.62961939495428,chem,2,2.4222222222222225,True,2,0,0,2.4222222566604614,
94,175,L4,T2,1,False,,1.816378517390875,chem,2,8.733333333333334,True,2,0,0,8.733333468437195,
95,176,L4,Tm2,1,False,,5.641215494498131,chem,3,24.788888888888888,True,3,0,0,24.788889408111572,
96,177,L4,Tm4,1,False,,2.2467902981103935,chem,6,13.625,True,6,0,0,13.62499988079071,
97,178,L4,Tm9,1,False,,3.396945773790911,chem,1,1.3333333333333333,True,1,0,0,1.3333333730697632,
98,180,L4,TmY3,1,False,,1.6697778149519982,chem,7,36.26428571428571,True,7,0,0,36.264286160469055,
99,179,L4,TmY13,1,False,,2.82842712474619,chem,1,1.0,True,1,0,0,1.0,
100,183,L5,L1,1,False,,5.26522838831772,chem,1,22.384615384615383,True,1,0,0,22.384614944458008,
101,184,L5,L2,1,False,,7.320514378361737,chem,1,4.666666666666667,True,1,0,0,4.666666507720947,
102,185,L5,L5,1,False,,2.101063500089593,chem,1,1.0,True,1,0,0,1.0,
103,181,L5,C2,1,False,,1.490638522565752,chem,9,36.92272727272727,True,9,0,0,36.92272675037384,
104,182,L5,C3,1,False,,1.8186644399933165,chem,1,7.5,True,1,0,0,7.5,
105,186,L5,Mi1,1,False,,2.9493287620323922,chem,3,30.576923076923077,True,3,0,0,30.576923370361328,
106,188,L5,Mi2,1,False,,1.6440366453941884,chem,1,1.6666666666666667,True,1,0,0,1.6666666269302368,
107,189,L5,Mi4,1,False,,3.5123521274331524,chem,6,28.34469696969697,True,6,0,0,28.344696640968323,
108,187,L5,Mi15,1,False,,1.6598686926570894,chem,1,1.0,True,1,0,0,1.0,
109,190,L5,T1,1,False,,18.614510468986285,chem,1,1.0,True,1,0,0,1.0,
110,191,L5,T2,1,False,,4.759003897163803,chem,4,38.72222222222222,True,4,0,0,38.722222328186035,
111,193,L5,Tm3,1,False,,1.1581724986259827,chem,10,43.4474358974359,True,10,0,0,43.4474356174469,
112,192,L5,Tm20,1,False,,4.256096247384443,chem,2,2.8181818181818183,True,2,0,0,2.818181872367859,
113,197,L5,TmY3,1,False,,1.9521807546609808,chem,8,42.44880952380952,True,8,0,0,42.448808908462524,
114,194,L5,TmY13,1,False,,1.6568542494923804,chem,1,1.6666666666666667,True,1,0,0,1.6666666269302368,
