# PREVIEW DIAGNOSTIC -- NOT A TEST (n=4, critical rho 0.90-1.00)
# script_sha256=195a89b555bedf3a0ff00a4c4e0542eafa6370243fbf9ed954f5fe8fbf7f4082 chkpt_iteration=250008 primary=mean_window(aggregate over the 16 items)
run,label,chkpt_iteration,type,mean_window,last_step,std_window,std_last_step,mean_window_item_02_ambush_2_split_00,mean_window_item_02_ambush_2_split_01,mean_window_item_02_ambush_2_split_02,mean_window_item_07_bamboo_1_split_00,mean_window_item_07_bamboo_1_split_01,mean_window_item_07_bamboo_1_split_02,mean_window_item_09_bandage_1_split_00,mean_window_item_09_bandage_1_split_01,mean_window_item_09_bandage_1_split_02,mean_window_item_12_cave_4_split_00,mean_window_item_13_market_2_split_00,mean_window_item_13_market_2_split_01,mean_window_item_13_market_2_split_02,mean_window_item_16_mountain_1_split_00,mean_window_item_16_mountain_1_split_01,mean_window_item_16_mountain_1_split_02
000,seed0,250008,R1,2.317123524451967,2.4691554325918217,0.24853589943309212,0.2520101208519402,2.376450847694844,2.321763400896743,2.3266989001205998,2.178693683034173,2.180017036220237,2.183519178996801,2.3474232931821577,2.3676792688161425,2.3760804526104846,1.9333391147124455,2.2003313632514034,2.182544420669875,2.1932101836978317,2.6923025149288846,2.6737988788732707,2.5401238535255724
000,seed0,250008,R2,3.6351573439932396,3.927028682005389,0.3112575038167826,0.35200899900065674,3.693596739254778,3.6257985942324056,3.6477502232451045,3.4545796183458477,3.456933565824273,3.46128904942666,3.686777726018313,3.709721922965387,3.715826352839662,3.117676320006546,3.4837449368011937,3.4587587434524636,3.474287778552461,4.134002003334101,4.1076370646239315,3.934136864968709
000,seed0,250008,R3,1.4203876226558512,1.506063501726469,0.22234593504652767,0.21322638349281314,1.4835386829055461,1.4329902815535642,1.4260375906479505,1.3069678433859482,1.3079452049405664,1.311095131095628,1.4393515945204254,1.4590706389350885,1.4689808083948745,1.1069136474834405,1.3250126103959698,1.3113070169326835,1.3191968990771432,1.7202300877205712,1.707271827168339,1.6002920973358805
000,seed0,250008,R4,2.1536900364885545,2.2427220043626805,0.2411104229805074,0.2341882788775318,2.2179892918004573,2.1682690654337486,2.1611173154039625,2.04117873568558,2.042103705781508,2.0452690785494987,2.172869656167811,2.1914896680251403,2.2007964029515503,1.8414455938789778,2.058997097582493,2.045623312421381,2.0535233949779963,2.4504052579154916,2.436786411035078,2.3311765962062037
000,seed0,250008,R5,1.3732549039183906,1.4391640525946752,0.20152690046243424,0.18347267511824897,1.427003039843332,1.381103199015626,1.3811724371681098,1.2515494239809777,1.2521131801435756,1.2550789626229983,1.3923982753750352,1.411897345846222,1.4219846745201183,1.0560808214851132,1.2691578735125957,1.254201009633968,1.2626458536983363,1.7028527571138994,1.6876638324122655,1.5651757763220766
000,seed0,250008,R6,1.3044953410738456,1.380822107058933,0.19165513902914488,0.17492509476350568,1.3636515939243954,1.3139445279883777,1.3089057252038372,1.1882439274129026,1.1889695396308428,1.1921507750610703,1.3234124139219974,1.3436513852870582,1.3538463506863123,0.9893922729048251,1.206377965203601,1.1921817156420336,1.2001336664064748,1.6152489237001633,1.6021120375531226,1.4897026366545156
000,seed0,250008,R7,0.09889748938750695,0.13231896211205235,0.10412205407500373,0.07841306698524735,0.13252957497297782,0.10514629103789745,0.10151154003151266,0.030238953364584147,0.03053523333447413,0.03231134066812245,0.10777846569177305,0.12039828526612432,0.12725719149965897,-0.08081642861598162,0.040688049370822085,0.03235990899138995,0.03676099003549025,0.28280976187333134,0.27544673991760305,0.20740393276033137
000,seed0,250008,R8,1.6674741875388026,1.7285883126369628,0.16944699380550354,0.1425843484793598,1.720292449840726,1.671188541308521,1.6691975762749844,1.54638281182674,1.5468709595739099,1.5500348552048786,1.6861468918404534,1.7080040492933761,1.7191338150535969,1.3490064386314553,1.564778380986722,1.5495856264138521,1.557665458846522,1.9961335611657525,1.9831998061207892,1.8619657782385644
000,seed0,250008,L1,0.16088134246069716,0.14771108132407287,0.06958716467186175,0.06167716806062685,0.13183414021083226,0.14664344539783183,0.15378904079607636,0.1890354022855164,0.18861585109315077,0.18784022371849135,0.1567715251672336,0.15320458630818087,0.15043170747221882,0.2449983461868488,0.18502591816132347,0.18743148442052932,0.18527884632155256,0.0939489138760861,0.09820513874318207,0.1210469092120999
000,seed0,250008,L2,2.1856011189517774,2.416476713521884,0.1705996344165901,0.23247022059198544,2.1932576836312863,2.16849730355399,2.1946823323401263,2.1112909774633115,2.113228784342414,2.114619630211434,2.2216395603552272,2.2255690567949773,2.221782616024705,1.950696465240768,2.124113858853894,2.1123328702170374,2.1206254482186617,2.3988837100637777,2.3836365597340667,2.3147610461827623
000,seed0,250008,L3,0.02963408495932726,0.03121203534831992,0.11530584979299417,0.17977356760037763,-0.0060863823794285775,-0.007015403107998808,0.007865530069996393,0.012351760268501998,0.015106560011544302,0.016353617453143454,0.0523040551546264,0.059286753412421136,0.053662167315171316,-0.05422468197708559,0.02399927545114636,0.01712787305773109,0.019823718033054046,0.09299632817124887,0.09183329065382521,0.07876089776133859
000,seed0,250008,L4,1.0149455630977415,1.0490284362257603,0.06308182351399405,0.0669781542363744,1.0302934237930217,1.028914234827527,1.0217722102421,1.0265491758797436,1.0272410345929006,1.0272689825308803,1.0159493617351774,1.0119795985633555,1.0096326667231592,1.0222359842446411,1.0260255442330313,1.0283379854197805,1.0281084904165605,0.9716874158580826,0.9709248378356188,0.9922080626682834
000,seed0,250008,L5,1.4483275142703134,1.6820982496056192,0.7861564711015103,0.7942824401086865,1.6484813665092475,1.4559647801317646,1.4091407961816622,1.129217517186323,1.1365092793316323,1.1444564206349361,1.5315725256211608,1.5794401587684441,1.600669668472986,0.4183518988805618,1.174553979058855,1.1440854201135298,1.1737234692702174,2.334569271326733,2.2894303991890745,2.0030732776478826
000,seed0,250008,Lawf1,4.012761519353731,4.196535407467102,0.45653761034518214,0.5440720529945212,3.6829478672546587,3.6558048339151745,3.791285538540138,3.91753705119699,3.9016261058125075,3.9272453463659076,4.132226055569765,4.138597695129675,4.071879130468622,3.4055708589592593,3.9060684722128913,3.9111077885075316,3.962373189276795,4.668121723915502,4.647929678990588,4.483862973543686
000,seed0,250008,Lawf2,2.054354086274809,2.7188737750284346,0.7450573300028582,0.8114732403493947,2.239582368020513,1.9668961625197916,1.9212793075365984,1.6125715610934648,1.6283082177847383,1.6495022361477218,2.247595367950153,2.32003418631791,2.3188305553601585,0.4657415634876768,1.6979646904477317,1.642542395186497,1.6863219488805872,3.313779942352112,3.2676869590834863,2.8910279182278047
000,seed0,250008,Am,0.11192398523562588,0.1611580368555726,0.13366037921477725,0.15822324070160887,0.13801603487133463,0.1263507899744294,0.09754092762474069,0.15419427081632547,0.15705938246488654,0.1576859665855032,0.11731342064622333,0.11461893598757034,0.10856008492022673,0.1454571817668307,0.15689419544755318,0.16291043521479887,0.15944080644761227,-0.02905280075117367,-0.023858355814603972,0.047652487567756405
000,seed0,250008,C2,-0.06157618517448583,-0.14579371266469948,0.08677281740434593,0.12019914940426249,-0.09642140166311258,-0.09799881636409055,-0.0695538507801154,-0.10342030083870232,-0.1025974287230271,-0.10112250821031021,-0.03190791747513127,-0.031899120285211954,-0.03681338047830746,-0.2103662607110432,-0.09649116785340121,-0.10483164761178754,-0.09773186453121892,0.08620461533318659,0.07803577237072902,0.03169631502977092
000,seed0,250008,C3,0.11555946265243078,0.12533500761694008,0.10337545347079319,0.10181951837717951,0.08130556142549243,0.09376904804423587,0.09978292373483084,0.12805279268858627,0.12810836009204588,0.1284192855670097,0.12195432865533631,0.11600675814024246,0.11301207023384707,0.12701791440435115,0.12402140843913209,0.12652816209979562,0.1284426731421727,0.10963535554727714,0.10840964901529711,0.11448511120923965
000,seed0,250008,CT1(Lo1),1.5649760593288808,1.5487934933890086,0.5002933185505918,0.5082435337891884,1.7104209903901473,1.6799420709004846,1.6685005246166877,1.5096629562887176,1.5176776886213672,1.513506881404932,1.540211143759021,1.5527459675970587,1.5694836104182779,1.516448296118791,1.514902743463625,1.5124005798720621,1.51158325009761,1.5857449536505008,1.581256180613117,1.5551291114496952
000,seed0,250008,CT1(M10),2.1425087185048897,2.248776779211696,0.547726855197164,0.5307488099387727,2.4508294405568076,2.3010234481821685,2.219940924954481,1.9035133557618908,1.907845555371947,1.9132890416001807,2.1650228647249077,2.210879468146954,2.242454736658092,1.5206932410298122,1.9490354967793135,1.9186320571334783,1.9215276009301128,2.6318533010357124,2.603989408581664,2.4196095546307084
000,seed0,250008,Mi1,5.970783894817949,6.444255057115226,1.6298941117049064,1.4431066873164453,6.474112587708892,6.0981788614679555,5.936545035928157,5.291790076296637,5.302730580782016,5.320122399336132,6.084682325411192,6.190494435505061,6.2498271304674855,3.890490087331627,5.389304961608761,5.328691543356596,5.3847328046509855,7.796662985695711,7.702930071648216,7.0912464298917595
000,seed0,250008,Mi2,2.401703291367507,2.5463968750693926,0.3501225866043309,0.37392282155875695,2.4295146900969304,2.3389767219760715,2.3611408878959983,2.2124583432396645,2.2154476094345115,2.222876666376726,2.4757155997081868,2.499105777234955,2.504706487518409,1.7918955922705457,2.2413525258887157,2.215301523116854,2.2368798382611277,2.9694829474871107,2.9493191661269256,2.763078285247376
000,seed0,250008,Mi3,0.9368701611919363,0.9355508568858142,0.13445398780483053,0.14823928932166966,1.0645506669161389,1.0350485956226572,1.0177277916430105,0.959839125295866,0.9532640245829642,0.9426195217939755,0.8762541664064178,0.8734400894580701,0.885710141542219,1.080973570166613,0.9791171297306989,0.957633786027458,0.9286368858549696,0.8046840306128609,0.8031088567247174,0.8273141966923431
000,seed0,250008,Mi4,3.30526145200211,3.7209450845166154,1.1228008180255256,1.1564083913201935,3.70500336007684,3.4064195972769133,3.3319912734987853,2.815998585044759,2.828787571981281,2.8381955516104806,3.397533629211531,3.496995048992976,3.5391533435711153,1.8844401980818724,2.9152992911657503,2.845060419856511,2.8703649517339906,4.506307052411707,4.452093627412343,4.050539730106907
000,seed0,250008,Mi9,1.0574368249462212,1.1687880274678235,0.15139811087393762,0.17019096423426383,0.9701902321014095,0.980253566902818,1.0428512620219081,1.006154078400168,1.0080829614450464,1.0114955800457568,1.09352604700937,1.0919755875010262,1.0642556488906627,0.860496664268382,1.0187286274546392,1.0096571240320944,1.0218611655573409,1.2714414058317753,1.2637066934541923,1.204312554222949
000,seed0,250008,Mi10,0.4187665271654308,0.27270901138150233,0.8232552657457393,0.8965642799169005,1.3334746721089559,1.1313309974455623,0.7947876421177964,0.22152436050920957,0.22160389406733136,0.20860334843443643,0.3420686389612816,0.43712630176609296,0.6608671826207118,0.29152935034105876,0.26111352700189855,0.2196361857447025,0.15474126821115156,0.128025714566882,0.14427093763444349,0.14956041311537754
000,seed0,250008,Mi11,0.7409747795350384,0.7511952095581077,0.030661860520138903,0.03368141983758724,0.7470362033204132,0.7391061581970915,0.7395356466531257,0.7267177909261311,0.7266787858057285,0.7275219633906624,0.74600610776847,0.7482164596696996,0.7475042339130182,0.6989648040823234,0.7292527077102132,0.7276049261429606,0.7283430240459319,0.7802115078710651,0.7782779706189935,0.7646181824447875
000,seed0,250008,Mi12,-1.909290766082456,-3.2553646856109673,0.550716833090538,0.8043235662458152,-2.1377515688503963,-2.219962727857601,-2.104037823143937,-2.11839984941259,-2.128438002795529,-2.118123748067008,-1.711518246634586,-1.6380541436662324,-1.5355343670849306,-2.694225802382264,-2.1291859990177078,-2.153174946702774,-2.112665910557878,-1.149965398854204,-1.1784643284250298,-1.4191493938666278
000,seed0,250008,Mi13,0.15481298063932475,0.1283771417343643,0.05079301367951305,0.05832384468413648,0.14942593288055045,0.13740407716755434,0.1387042801042479,0.13584248092278692,0.13491806625007505,0.1362670327918462,0.16751087332730816,0.174788527343107,0.180858662219824,0.09204807630249257,0.13643093256527833,0.13560232263182428,0.13703981296220039,0.21454780318938327,0.21239326130107936,0.1932255482696379
000,seed0,250008,Mi14,4.334154852740622,4.888390720898128,1.2182793220954715,1.2253151328584482,4.612413179632612,4.258611505729728,4.198017859919806,3.6813854048429007,3.6963308271749162,3.7251840023388483,4.483464488283771,4.599506424532766,4.597456060796357,2.3329869529617313,3.8191000910989956,3.736787999345922,3.789789713024267,6.1801523763991275,6.1168198402645535,5.518470917503646
000,seed0,250008,Mi15,-0.35623922756572435,-0.07621636770109262,0.19363425904690723,0.16164503175399503,-0.36962804293625534,-0.37439566863385576,-0.3719319069418015,-0.40206807246150167,-0.3992449413246418,-0.39661451853023716,-0.33586128896208306,-0.34894289998389694,-0.37802448734716476,-0.46930795132238057,-0.3717045827687707,-0.3755367829897978,-0.3721039450005984,-0.22225917994951985,-0.23112015941708433,-0.28108321248199936
000,seed0,250008,T1,0.8452236146371439,1.0756557534688413,0.4864359561902399,0.47172302449362713,0.736043299142731,0.8098176098351164,0.8521502030550939,1.002868926824405,1.0049805612459615,0.9991168206455587,0.8586486518721455,0.8161675202713223,0.7908521762851434,1.1867461426271417,0.975044898371291,0.9946137547075761,0.9914736420113786,0.44330320644700033,0.44883031040887333,0.6129201104435631
000,seed0,250008,T2,12.94147719209452,13.853899240307769,4.3980322774372596,4.3116846193226035,15.513757154579057,13.894013939219196,13.158730367465708,10.502174110894561,10.522784299352796,10.641877352939236,13.196074525096382,13.740058148725685,13.953267846720475,6.182068389674829,11.377852964539713,10.85107640350204,10.778083703461284,18.304214916034148,18.169107079927535,16.27849387137966
000,seed0,250008,T2a,2.385578318850503,2.59587238676815,0.34467197995691246,0.39574583515440764,2.3709753089076773,2.3998995955521947,2.4013280124794933,2.418109738508475,2.4210661408949994,2.4192941366138148,2.3848995617747146,2.377281772656348,2.376839872531273,2.45476270559426,2.411637381944759,2.412356790042536,2.413480174613809,2.2840832233284285,2.291278559145171,2.3319601270200976
000,seed0,250008,T3,5.35739046535177,5.811652625876062,0.7544001019863668,0.7695206066384499,5.580633101437692,5.449604049988412,5.363915741536637,5.149709662972806,5.160358174945047,5.1622356959545,5.384903918762643,5.421479217143893,5.46090069284221,4.675505069952235,5.180436318761432,5.157025597069861,5.175851431505525,5.864151370293884,5.8461212218469125,5.685416180614625
