bank,seed,kind,rank,existence,offset,counts,sign,bf_lambda_per_fold
real,,real,4,0.008100314273524051,0.0,0.0,0.0,"[3.0, 3.0, 1.0, 3.0, 3.0, 3.0, 1.0, 1.0, 3.0, 3.0]"
shuffle0,0,shuffle,4,-0.003461933640905285,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle1,1,shuffle,4,-0.0009105036796698163,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle2,2,shuffle,4,0.0007055869880863097,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 100.0]"
shuffle3,3,shuffle,4,0.0022547683204544424,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0]"
shuffle4,4,shuffle,4,-0.001227538882512391,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle5,5,shuffle,4,-0.0005253776222287232,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle6,6,shuffle,4,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle7,7,shuffle,4,-0.0013778083478990066,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle8,8,shuffle,4,0.0013845208770594919,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0]"
shuffle9,9,shuffle,4,0.004004720144545154,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle10,10,shuffle,4,-0.0009004302678492171,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0]"
shuffle11,11,shuffle,4,-0.0008261515784202478,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 100.0]"
shuffle12,12,shuffle,4,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle13,13,shuffle,4,-0.001633932197068938,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle14,14,shuffle,4,-0.000876506603525834,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle15,15,shuffle,4,-0.002051272556030631,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle16,16,shuffle,4,0.0010500392879171593,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 100.0, 3.0]"
shuffle17,17,shuffle,4,-0.0004606848563910859,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 100.0, 3.0, 100.0]"
shuffle18,18,shuffle,4,-0.0011761544860060037,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle19,19,shuffle,4,-0.0002159247353704763,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle20,20,shuffle,4,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle21,21,shuffle,4,-0.0018023441242518868,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 3.0]"
shuffle22,22,shuffle,4,0.004485042103999176,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle23,23,shuffle,4,0.0026250739911326815,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle24,24,shuffle,4,-0.0009263601140119815,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle25,25,shuffle,4,0.0007691859033078063,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle26,26,shuffle,4,-0.003848383235840763,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0]"
shuffle27,27,shuffle,4,-0.0023413371934348894,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0]"
shuffle28,28,shuffle,4,-0.0023489366208324534,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0]"
shuffle29,29,shuffle,4,-0.0010527709898905501,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle30,30,shuffle,4,-0.0015271437545231637,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle31,31,shuffle,4,-0.0009676833545558539,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle32,32,shuffle,4,-0.0022190655891631606,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle33,33,shuffle,4,-0.0010597905759611725,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle34,34,shuffle,4,0.002219047572232019,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0]"
shuffle35,35,shuffle,4,-0.001958950477589905,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle36,36,shuffle,4,-0.00010142227608824771,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle37,37,shuffle,4,-0.002906120710011545,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle38,38,shuffle,4,-0.0008857321440663313,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle39,39,shuffle,4,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle40,40,shuffle,4,-0.002410675601308865,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 3.0, 3.0, 3.0]"
