bank,seed,kind,rank,existence,offset,counts,sign,bf_lambda_per_fold
real,,real,1,0.03430746435526723,0.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
shuffle0,0,shuffle,1,-0.0009467671328689698,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0]"
shuffle1,1,shuffle,1,-0.0009290934816463204,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle2,2,shuffle,1,-0.0001401071384644348,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 100.0]"
shuffle3,3,shuffle,1,0.0015612790111708852,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0]"
shuffle4,4,shuffle,1,-0.0014012720386114175,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle5,5,shuffle,1,-0.0002331198458811967,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle6,6,shuffle,1,-0.0009573566436273274,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle7,7,shuffle,1,-0.0018422760307530428,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0]"
shuffle8,8,shuffle,1,0.0014950004066665522,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 100.0, 3.0, 3.0]"
shuffle9,9,shuffle,1,0.0016019936458326611,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 3.0, 3.0, 3.0, 3.0]"
shuffle10,10,shuffle,1,0.0021620362246899615,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0]"
shuffle11,11,shuffle,1,-9.331839968835798e-05,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 100.0, 100.0]"
shuffle12,12,shuffle,1,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle13,13,shuffle,1,-0.0018970011849923473,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle14,14,shuffle,1,-0.0010633110316809412,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle15,15,shuffle,1,-0.00012243897218686684,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle16,16,shuffle,1,0.00046721271321535917,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 100.0, 3.0, 100.0, 3.0]"
shuffle17,17,shuffle,1,-0.0005829681461730962,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0]"
