bank,seed,kind,rank,existence,offset,counts,sign,bf_lambda_per_fold
real,,real,2,0.014130556329575777,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0]"
shuffle0,0,shuffle,2,-0.00351284656983934,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle1,1,shuffle,2,-0.0010530889964903312,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle2,2,shuffle,2,0.001726725582281191,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 100.0]"
shuffle3,3,shuffle,2,0.001487989676031376,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0]"
shuffle4,4,shuffle,2,-0.001237498383747143,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle5,5,shuffle,2,-2.959103723639278e-05,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle6,6,shuffle,2,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle7,7,shuffle,2,-0.002344321330754412,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0]"
shuffle8,8,shuffle,2,0.0017379863950110486,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0]"
shuffle9,9,shuffle,2,0.004641484700803738,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle10,10,shuffle,2,-0.0005716418061149254,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0]"
shuffle11,11,shuffle,2,-0.0006300936751171493,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 100.0]"
shuffle12,12,shuffle,2,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle13,13,shuffle,2,-0.001875444381039787,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle14,14,shuffle,2,-0.0008718977544453666,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle15,15,shuffle,2,-0.00238842261782356,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 3.0]"
shuffle16,16,shuffle,2,0.00024764174509555036,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 100.0, 3.0]"
shuffle17,17,shuffle,2,-1.832893512576095e-05,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 100.0, 3.0, 100.0]"
shuffle18,18,shuffle,2,-0.0013090475920636059,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle19,19,shuffle,2,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle20,20,shuffle,2,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle21,21,shuffle,2,-0.0023856730486669308,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 3.0]"
shuffle22,22,shuffle,2,0.004764135550039289,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle23,23,shuffle,2,0.0017868475057362776,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle24,24,shuffle,2,-0.0009374024371458067,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle25,25,shuffle,2,0.0008095139053921396,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle26,26,shuffle,2,-0.0038951523482712914,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0]"
shuffle27,27,shuffle,2,-0.0016449957352028034,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0]"
shuffle28,28,shuffle,2,-0.002200903285983058,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0]"
shuffle29,29,shuffle,2,-0.001084424941305623,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle30,30,shuffle,2,-0.001657349617924586,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle31,31,shuffle,2,-0.0007908590834142693,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle32,32,shuffle,2,-0.0021914337850535816,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle33,33,shuffle,2,-0.001358344094461933,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle34,34,shuffle,2,0.002527953264118643,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0]"
shuffle35,35,shuffle,2,-0.001972243529345724,0.0,0.0,0.0,"[3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle36,36,shuffle,2,-0.0012134412682036412,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle37,37,shuffle,2,-0.0014672700228911927,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
