# FULL FLOAT from the run jsons' checkpoint_metrics (not tools/night/night_report.py's r4() 4-decimal formatter) -- hardening item 19 (docs/tool-hardening-package.md), same convention as results/night2/night_report_checkpoints.csv.
# script: results/night3/extract_night3.py -- see README.md for its sha256 and the exact command that produced this file.
iteration,val_loss_seed0,val_loss_seed0prime,val_loss_seed1,val_loss_seed2,val_loss_seed3,val_loss_seed4
0,1212.5555891990662,1212.5555891990662,1212.5529980659485,1212.5592331886292,1212.549735546112,1212.5379438400269
12,1212.2575192451477,1212.257432460785,1211.7470698356628,1211.874619960785,1211.7933373451233,1211.5977621078491
3612,1206.3209657669067,1206.3056826591492,1207.6736087799072,1208.0228462219238,1206.8331260681152,1206.0792880058289
7212,1206.1248331069946,1206.1165614128113,1205.8514008522034,1206.370617389679,1207.4437184333801,1206.31192445755
10812,1205.7025265693665,1205.6863594055176,1206.354675769806,1206.7138018608093,1206.102132320404,1206.7002220153809
14412,1206.0823640823364,1206.0104479789734,1206.722903251648,1206.761953830719,1206.2946066856384,1205.5813374519348
18012,1205.9266576766968,1205.864339351654,1204.7625842094421,1206.3075051307678,1204.1879568099976,1206.963161945343
21612,1199.3853902816772,1200.060486316681,1202.0726828575134,1205.1802520751953,1201.7572746276855,1206.3359780311584
25212,1192.749345779419,1192.8248987197876,1192.410327911377,1205.978184223175,1190.0516934394836,1203.28493309021
28812,1184.2531604766846,1183.6375303268433,1182.0623407363892,1200.7650408744812,1184.5229816436768,1200.1395153999329
32412,1175.8662767410278,1178.3089871406555,1172.8651084899902,1199.5603756904602,1174.2851204872131,1199.839699268341
36012,1170.161361694336,1170.598623752594,1172.3335719108582,1196.1473321914673,1179.1251854896545,1193.6561212539673
39612,1170.5514578819275,1172.1209344863892,1170.7334780693054,1196.9538197517395,1174.0103015899658,1199.535927772522
43212,1170.5393662452698,1171.6973991394043,1158.2844829559326,1193.0628776550293,1179.8168456554413,1191.8077096939087
46812,1163.0752940177917,1165.0034232139587,1163.7274188995361,1183.011552810669,1168.8908987045288,1193.7603116035461
50412,1166.7278966903687,1165.6999549865723,1164.7513885498047,1175.845567703247,1179.03347158432,1188.8332471847534
54012,1165.3889746665955,1168.5220174789429,1158.0555262565613,1178.6470866203308,1171.334593296051,1192.8853077888489
57612,1163.9734754562378,1165.8661308288574,1161.5894923210144,1168.6928896903992,1164.6276597976685,1204.4670977592468
61212,1157.2235441207886,1163.6424922943115,1163.1893091201782,1165.1368913650513,1174.063434123993,1188.9999809265137
64812,1163.9785342216492,1165.2621054649353,1160.8495516777039,1149.7257318496704,1165.9827904701233,1186.5254616737366
68412,1168.6454310417175,1175.2381105422974,1158.38618850708,1156.3342504501343,1174.3907718658447,1181.130253314972
72012,1156.214557647705,1165.7804346084595,1161.1805968284607,1168.7742133140564,1178.1887531280518,1183.9026021957397
75612,1153.7557654380798,1158.3736753463745,1167.080674648285,1157.9509224891663,1166.0801539421082,1191.7330403327942
79212,1155.2569732666016,1161.6554536819458,1168.7346329689026,1147.7080388069153,1174.641305923462,1172.1330881118774
82812,1143.5370287895203,1156.0001559257507,1164.063277721405,1153.2110359668732,1164.9092211723328,1171.693787574768
86412,1155.352017402649,1161.080171585083,1161.1871609687805,1154.2440485954285,1169.4651737213135,1174.7523460388184
90012,1150.2037014961243,1162.769546031952,1163.572081565857,1147.5055706501007,1171.1676926612854,1174.6880593299866
93612,1146.0899176597595,1158.107048034668,1164.9665789604187,1156.8112330436707,1175.2162098884583,1170.5908479690552
97212,1166.0587973594666,1165.5258479118347,1156.5754661560059,1139.1152305603027,1173.9762539863586,1168.6568455696106
100812,1159.3972482681274,1165.9083790779114,1174.59503698349,1149.9595098495483,1168.6563563346863,1170.787139415741
104412,1149.9424061775208,1165.0305652618408,1156.3830351829529,1149.5918292999268,1172.8285298347473,1168.4853920936584
108012,1152.2471561431885,1165.1910004615784,1159.6917576789856,1149.0314645767212,1163.5787386894226,1169.1170048713684
111612,1145.259247303009,1158.2587203979492,1158.5441946983337,1153.751736164093,1161.7089304924011,1164.0210571289062
115212,1162.6178755760193,1167.6305890083313,1159.0098600387573,1141.791434764862,1170.3667149543762,1178.2951755523682
118812,1159.1505522727966,1160.2479157447815,1158.654372215271,1148.1022024154663,1174.6678228378296,1170.6738066673279
122412,1149.5846281051636,1157.1582894325256,1157.7469491958618,1144.9998154640198,1170.5867586135864,1161.0396633148193
126012,1157.3147263526917,1163.24169921875,1153.2412114143372,1149.9143924713135,1167.1255345344543,1166.733796596527
129612,1155.54319190979,1160.7914743423462,1154.618935585022,1152.911548614502,1167.4171047210693,1159.7117166519165
133212,1153.2943959236145,1164.9485363960266,1158.1896433830261,1145.8231110572815,1168.2856822013855,1164.9900360107422
136812,1155.7976460456848,1165.14652967453,1156.6086921691895,1142.9586153030396,1176.3770298957825,1157.7596158981323
