# FULL FLOAT from the run jsons' checkpoint_metrics (not tools/night/night_report.py's r4() 4-decimal formatter) -- hardening item 19 (docs/tool-hardening-package.md), same convention as results/night2/night_report_checkpoints.csv.
# script: results/night3/extract_night3.py -- see README.md for its sha256 and the exact command that produced this file.
iteration,val_loss_seed0,val_loss_seed0prime,val_loss_seed1,val_loss_seed2,val_loss_seed3,val_loss_seed4
140412,1170.67139005661,1167.6291785240173,1153.7491188049316,1146.4059405326843,1163.0900983810425,1165.0008878707886
144012,1154.2527952194214,1166.6948523521423,1152.181580066681,1149.994649887085,1163.14825963974,1164.5611476898193
147612,1150.4220099449158,1160.9484596252441,1151.5074534416199,1143.3270301818848,1161.3737435340881,1157.656994819641
151212,1152.8306703567505,1165.077630519867,1153.5651025772095,1144.913411140442,1165.2207584381104,1158.9329886436462
154812,1159.6490750312805,1164.1412391662598,1159.3758964538574,1156.1771636009216,1165.6916799545288,1153.7937326431274
158412,1148.1150574684143,1160.1365804672241,1157.6255736351013,1148.153480052948,1167.5395035743713,1159.5166506767273
162012,1159.507375717163,1170.9092984199524,1149.2913193702698,1137.8218989372253,1181.6246318817139,1158.191759109497
165612,1168.3797082901,1172.0600066184998,1149.6650700569153,1152.2315549850464,1166.1481046676636,1163.401943206787
169212,1149.1647539138794,1160.9523620605469,1148.1312074661255,1156.9998259544373,1171.6817154884338,1164.2379884719849
172812,1154.8276648521423,1165.792932510376,1151.781644821167,1139.5149302482605,1166.0326933860779,1165.690734386444
176412,1147.5206727981567,1164.690577507019,1145.0673270225525,1148.1520657539368,1158.8479490280151,1164.770757675171
180012,1148.9452629089355,1161.0157647132874,1148.6651096343994,1156.9476127624512,1166.3808250427246,1162.0929107666016
183612,1146.5117826461792,1163.1874775886536,1146.4211168289185,1147.0188484191895,1169.6822490692139,1158.0983710289001
187212,1150.2213530540466,1167.1312942504883,1149.1065158843994,1149.011959552765,1161.4555730819702,1158.7704181671143
190812,1167.618703365326,1172.5036034584045,1148.6974964141846,1147.2482500076294,1162.5908608436584,1155.6888899803162
194412,1153.1420350074768,1163.9778952598572,1146.5436005592346,1152.435649394989,1161.2927770614624,1155.982656955719
198012,1149.6872253417969,1163.5245547294617,1147.9997973442078,1145.209469795227,1152.6911673545837,1150.093433856964
201612,1147.5358061790466,1162.2339978218079,1147.0293822288513,1150.5089588165283,1163.238211631775,1156.383086681366
205212,1148.8634481430054,1163.277099609375,1140.2279896736145,1145.6014752388,1162.3036823272705,1155.4480986595154
208812,1149.8739533424377,1163.9772124290466,1142.9587297439575,1150.0095510482788,1158.1978006362915,1155.980586051941
212412,1156.68288564682,1168.5995626449585,1145.1025261878967,1144.79763174057,1160.7131066322327,1150.104718208313
216012,1152.8447680473328,1164.6138353347778,1143.7317070960999,1154.187656402588,1153.3346395492554,1164.9290256500244
219612,1141.046275138855,1158.8615641593933,1141.954640865326,1144.73437833786,1157.4240245819092,1150.2353792190552
223212,1153.735357761383,1165.0799078941345,1143.8519539833069,1151.48770570755,1152.8705954551697,1156.4332375526428
226812,1150.912000656128,1163.2939519882202,1142.2662115097046,1146.334297657013,1155.5817728042603,1151.341323852539
230412,1148.4919900894165,1161.378493309021,1141.4982767105103,1147.0198006629944,1155.2349181175232,1154.468566417694
234012,1145.9389743804932,1162.5076351165771,1141.9582362174988,1145.3684620857239,1156.2054166793823,1156.132887840271
237612,1146.768355846405,1163.559669971466,1142.3555226325989,1146.178310394287,1150.9344902038574,1159.1522274017334
241212,1150.2581067085266,1163.769284248352,1141.8480415344238,1148.028510093689,1153.4506540298462,1156.428294658661
244812,1147.7892470359802,1163.0918135643005,1141.7745065689087,1143.360122203827,1152.9010872840881,1152.1362080574036
248412,1153.3329420089722,1165.2531352043152,1139.7139511108398,1148.6121845245361,1153.678273677826,1151.6805572509766
250008,1148.8074851036072,1160.9823441505432,1144.636233329773,1147.717873096466,1155.7706489562988,1156.8284645080566
