# PREVIEW DIAGNOSTIC -- NOT A TEST
# script_sha256=d402eb4140ead741a9c3fcf603647dbfd210ff7facd034b0bbe943ea7f57e531
run,chkpt_index,solver_iteration,process,evaluator,round,mean_16,stored_val_loss
003,0,0,1,E1,1,1212.549735546112,1212.549735546112
003,0,0,1,E2,1,1212.5497364997864,1212.549735546112
003,0,0,1,E3,1,1212.549735546112,1212.549735546112
003,0,0,1,E1,2,1212.549735546112,1212.549735546112
003,0,0,1,E2,2,1212.549735546112,1212.549735546112
003,0,0,1,E3,2,1212.549735546112,1212.549735546112
003,0,0,1,E1,3,1212.549735546112,1212.549735546112
003,0,0,1,E2,3,1212.549735546112,1212.549735546112
003,0,0,1,E3,3,1212.549735546112,1212.549735546112
003,0,0,1,E1,4,1212.549735546112,1212.549735546112
003,0,0,1,E2,4,1212.549735546112,1212.549735546112
003,0,0,1,E3,4,1212.549735546112,1212.549735546112
003,0,0,1,E1,5,1212.549735546112,1212.549735546112
003,0,0,1,E2,5,1212.549735546112,1212.549735546112
003,0,0,1,E3,5,1212.549735546112,1212.549735546112
003,8,25212,1,E1,1,1190.0516595840454,1190.0516934394836
003,8,25212,1,E2,1,1190.051697731018,1190.0516934394836
003,8,25212,1,E3,1,1190.051685810089,1190.0516934394836
003,8,25212,1,E1,2,1190.0516562461853,1190.0516934394836
003,8,25212,1,E2,2,1190.0516600608826,1190.0516934394836
003,8,25212,1,E3,2,1190.0516548156738,1190.0516934394836
003,8,25212,1,E1,3,1190.0516610145569,1190.0516934394836
003,8,25212,1,E2,3,1190.05166721344,1190.0516934394836
003,8,25212,1,E3,3,1190.0516591072083,1190.0516934394836
003,8,25212,1,E1,4,1190.0516505241394,1190.0516934394836
003,8,25212,1,E2,4,1190.0516595840454,1190.0516934394836
003,8,25212,1,E3,4,1190.0516538619995,1190.0516934394836
003,8,25212,1,E1,5,1190.0516600608826,1190.0516934394836
003,8,25212,1,E2,5,1190.051658153534,1190.0516934394836
003,8,25212,1,E3,5,1190.0516872406006,1190.0516934394836
003,71,250008,1,E1,1,1155.770670890808,1155.7706489562988
003,71,250008,1,E2,1,1155.7706179618835,1155.7706489562988
003,71,250008,1,E3,1,1155.7706475257874,1155.7706489562988
003,71,250008,1,E1,2,1155.7706594467163,1155.7706489562988
003,71,250008,1,E2,2,1155.770606994629,1155.7706489562988
003,71,250008,1,E3,2,1155.7706656455994,1155.7706489562988
003,71,250008,1,E1,3,1155.770637512207,1155.7706489562988
003,71,250008,1,E2,3,1155.7706122398376,1155.7706489562988
003,71,250008,1,E3,3,1155.7706456184387,1155.7706489562988
003,71,250008,1,E1,4,1155.7706689834595,1155.7706489562988
003,71,250008,1,E2,4,1155.7706880569458,1155.7706489562988
003,71,250008,1,E3,4,1155.7706637382507,1155.7706489562988
003,71,250008,1,E1,5,1155.7706456184387,1155.7706489562988
003,71,250008,1,E2,5,1155.7706241607666,1155.7706489562988
003,71,250008,1,E3,5,1155.7706761360168,1155.7706489562988
903,0,0,1,E1,1,1212.549735546112,1212.549735546112
903,0,0,1,E2,1,1212.549735546112,1212.549735546112
903,0,0,1,E3,1,1212.549735546112,1212.549735546112
903,0,0,1,E1,2,1212.549735546112,1212.549735546112
903,0,0,1,E2,2,1212.549735546112,1212.549735546112
903,0,0,1,E3,2,1212.549735546112,1212.549735546112
903,0,0,1,E1,3,1212.549735546112,1212.549735546112
903,0,0,1,E2,3,1212.549735546112,1212.549735546112
903,0,0,1,E3,3,1212.549735546112,1212.549735546112
903,0,0,1,E1,4,1212.549735546112,1212.549735546112
903,0,0,1,E2,4,1212.549735546112,1212.549735546112
903,0,0,1,E3,4,1212.549735546112,1212.549735546112
903,0,0,1,E1,5,1212.549735546112,1212.549735546112
903,0,0,1,E2,5,1212.549735546112,1212.549735546112
903,0,0,1,E3,5,1212.549735546112,1212.549735546112
903,8,25212,1,E1,1,1187.1360669136047,1187.1360335350037
903,8,25212,1,E2,1,1187.136067390442,1187.1360335350037
903,8,25212,1,E3,1,1187.136065006256,1187.1360335350037
903,8,25212,1,E1,2,1187.1360688209534,1187.1360335350037
903,8,25212,1,E2,2,1187.136028766632,1187.1360335350037
903,8,25212,1,E3,2,1187.1360349655151,1187.1360335350037
903,8,25212,1,E1,3,1187.1360635757446,1187.1360335350037
903,8,25212,1,E2,3,1187.1360664367676,1187.1360335350037
903,8,25212,1,E3,3,1187.1360259056091,1187.1360335350037
903,8,25212,1,E1,4,1187.1360573768616,1187.1360335350037
903,8,25212,1,E2,4,1187.1360654830933,1187.1360335350037
903,8,25212,1,E3,4,1187.1360611915588,1187.1360335350037
903,8,25212,1,E1,5,1187.1360602378845,1187.1360335350037
903,8,25212,1,E2,5,1187.136034488678,1187.1360335350037
903,8,25212,1,E3,5,1187.136019229889,1187.1360335350037
903,71,250008,1,E1,1,1163.3765845298767,1163.376554965973
903,71,250008,1,E2,1,1163.376515865326,1163.376554965973
903,71,250008,1,E3,1,1163.3765392303467,1163.376554965973
903,71,250008,1,E1,2,1163.3765859603882,1163.376554965973
903,71,250008,1,E2,2,1163.3766145706177,1163.376554965973
903,71,250008,1,E3,2,1163.3765478134155,1163.376554965973
903,71,250008,1,E1,3,1163.3765816688538,1163.376554965973
903,71,250008,1,E2,3,1163.3766231536865,1163.376554965973
903,71,250008,1,E3,3,1163.3765597343445,1163.376554965973
903,71,250008,1,E1,4,1163.3766136169434,1163.376554965973
903,71,250008,1,E2,4,1163.3765354156494,1163.376554965973
903,71,250008,1,E3,4,1163.3765201568604,1163.376554965973
903,71,250008,1,E1,5,1163.376516342163,1163.376554965973
903,71,250008,1,E2,5,1163.376624584198,1163.376554965973
903,71,250008,1,E3,5,1163.3765230178833,1163.376554965973
003,0,0,2,E1,1,1212.549735546112,1212.549735546112
003,0,0,2,E2,1,1212.549735546112,1212.549735546112
003,0,0,2,E3,1,1212.549735546112,1212.549735546112
003,0,0,2,E1,2,1212.549735546112,1212.549735546112
003,0,0,2,E2,2,1212.549735546112,1212.549735546112
003,0,0,2,E3,2,1212.549735546112,1212.549735546112
003,0,0,2,E1,3,1212.549735546112,1212.549735546112
003,0,0,2,E2,3,1212.549735546112,1212.549735546112
003,0,0,2,E3,3,1212.549735546112,1212.549735546112
003,0,0,2,E1,4,1212.549735546112,1212.549735546112
003,0,0,2,E2,4,1212.549735546112,1212.549735546112
003,0,0,2,E3,4,1212.549735546112,1212.549735546112
003,0,0,2,E1,5,1212.549735546112,1212.549735546112
003,0,0,2,E2,5,1212.549735546112,1212.549735546112
003,0,0,2,E3,5,1212.549735546112,1212.549735546112
003,8,25212,2,E1,1,1190.0516891479492,1190.0516934394836
003,8,25212,2,E2,1,1190.0516953468323,1190.0516934394836
003,8,25212,2,E3,1,1190.051658630371,1190.0516934394836
003,8,25212,2,E1,2,1190.0516967773438,1190.0516934394836
003,8,25212,2,E2,2,1190.051688194275,1190.0516934394836
003,8,25212,2,E3,2,1190.0516571998596,1190.0516934394836
003,8,25212,2,E1,3,1190.0516877174377,1190.0516934394836
003,8,25212,2,E2,3,1190.051691532135,1190.0516934394836
003,8,25212,2,E3,3,1190.051661491394,1190.0516934394836
003,8,25212,2,E1,4,1190.0516872406006,1190.0516934394836
003,8,25212,2,E2,4,1190.0516571998596,1190.0516934394836
003,8,25212,2,E3,4,1190.0516557693481,1190.0516934394836
003,8,25212,2,E1,5,1190.051655292511,1190.0516934394836
003,8,25212,2,E2,5,1190.0516839027405,1190.0516934394836
003,8,25212,2,E3,5,1190.0516543388367,1190.0516934394836
003,71,250008,2,E1,1,1155.7706651687622,1155.7706489562988
003,71,250008,2,E2,1,1155.770673274994,1155.7706489562988
003,71,250008,2,E3,1,1155.7706656455994,1155.7706489562988
003,71,250008,2,E1,2,1155.7706274986267,1155.7706489562988
003,71,250008,2,E2,2,1155.770664215088,1155.7706489562988
003,71,250008,2,E3,2,1155.7707028388977,1155.7706489562988
003,71,250008,2,E1,3,1155.7706665992737,1155.7706489562988
003,71,250008,2,E2,3,1155.7706580162048,1155.7706489562988
003,71,250008,2,E3,3,1155.7706651687622,1155.7706489562988
003,71,250008,2,E1,4,1155.7706274986267,1155.7706489562988
003,71,250008,2,E2,4,1155.7706356048584,1155.7706489562988
003,71,250008,2,E3,4,1155.7706274986267,1155.7706489562988
003,71,250008,2,E1,5,1155.7706365585327,1155.7706489562988
003,71,250008,2,E2,5,1155.77064371109,1155.7706489562988
003,71,250008,2,E3,5,1155.7706384658813,1155.7706489562988
903,0,0,2,E1,1,1212.549735546112,1212.549735546112
