"# FULL FLOAT from the run jsons' checkpoint_metrics -- same convention as results/night4/night_report_checkpoints.csv, extended from eight runs to TEN (adds 0"" = 9992/000 and 3''' = 9992/003)."
"# run -> column is an EXPLICIT mapping, recorded in results/night5/run_columns.csv beside this file; do NOT derive it from the column name. # script: results/night5/extract_night5.py"
iteration,val_loss_seed0,val_loss_seed0prime,val_loss_seed1,val_loss_seed2,val_loss_seed3,val_loss_seed4,val_loss_seed3prime,val_loss_seed5,val_loss_seed0primeprime,val_loss_seed3primeprimeprime
0,1212.5555891990662,1212.5555891990662,1212.5529980659485,1212.5592331886292,1212.549735546112,1212.5379438400269,1212.549735546112,1212.5467114448547,1212.5555891990662,1212.5497364997864
12,1212.2575192451477,1212.257432460785,1211.7470698356628,1211.874619960785,1211.7933373451233,1211.5977621078491,1211.7931632995605,1212.0451250076294,1212.2575488090515,1211.793267250061
3612,1206.3209657669067,1206.3056826591492,1207.6736087799072,1208.0228462219238,1206.8331260681152,1206.0792880058289,1206.8110871315002,1205.1753044128418,1206.300130367279,1206.8360919952393
7212,1206.1248331069946,1206.1165614128113,1205.8514008522034,1206.370617389679,1207.4437184333801,1206.31192445755,1207.415832042694,1206.8534860610962,1206.1308417320251,1207.4791598320007
10812,1205.7025265693665,1205.6863594055176,1206.354675769806,1206.7138018608093,1206.102132320404,1206.7002220153809,1206.1363577842712,1206.6615447998047,1205.684763431549,1206.1308588981628
14412,1206.0823640823364,1206.0104479789734,1206.722903251648,1206.761953830719,1206.2946066856384,1205.5813374519348,1206.4308967590332,1206.360251903534,1206.1038727760315,1206.4164953231812
18012,1205.9266576766968,1205.864339351654,1204.7625842094421,1206.3075051307678,1204.1879568099976,1206.963161945343,1204.2230167388916,1206.2543535232544,1205.9950914382935,1204.07195520401
21612,1199.3853902816772,1200.060486316681,1202.0726828575134,1205.1802520751953,1201.7572746276855,1206.3359780311584,1201.7640681266785,1206.6748790740967,1201.7734231948853,1202.0731081962585
25212,1192.749345779419,1192.8248987197876,1192.410327911377,1205.978184223175,1190.0516934394836,1203.28493309021,1187.1360335350037,1213.5255398750305,1191.1639351844788,1187.8080883026123
28812,1184.2531604766846,1183.6375303268433,1182.0623407363892,1200.7650408744812,1184.5229816436768,1200.1395153999329,1182.3102931976318,1200.9584941864014,1182.4506859779358,1183.5400166511536
32412,1175.8662767410278,1178.3089871406555,1172.8651084899902,1199.5603756904602,1174.2851204872131,1199.839699268341,1173.1150703430176,1193.8305158615112,1177.304027557373,1175.7087035179138
36012,1170.161361694336,1170.598623752594,1172.3335719108582,1196.1473321914673,1179.1251854896545,1193.6561212539673,1180.756212234497,1189.6421189308167,1169.7795038223267,1188.0125102996826
39612,1170.5514578819275,1172.1209344863892,1170.7334780693054,1196.9538197517395,1174.0103015899658,1199.535927772522,1177.6192755699158,1181.0525612831116,1167.1860332489014,1184.6923713684082
43212,1170.5393662452698,1171.6973991394043,1158.2844829559326,1193.0628776550293,1179.8168456554413,1191.8077096939087,1188.7441911697388,1179.945885181427,1165.0211381912231,1184.6592946052551
46812,1163.0752940177917,1165.0034232139587,1163.7274188995361,1183.011552810669,1168.8908987045288,1193.7603116035461,1177.9724097251892,1176.795970916748,1157.2181415557861,1179.675908088684
50412,1166.7278966903687,1165.6999549865723,1164.7513885498047,1175.845567703247,1179.03347158432,1188.8332471847534,1182.308880329132,1169.9620695114136,1158.5040521621704,1181.274784564972
54012,1165.3889746665955,1168.5220174789429,1158.0555262565613,1178.6470866203308,1171.334593296051,1192.8853077888489,1178.8656678199768,1159.0972352027893,1158.4960985183716,1177.4626784324646
57612,1163.9734754562378,1165.8661308288574,1161.5894923210144,1168.6928896903992,1164.6276597976685,1204.4670977592468,1170.8438372612,1173.8967037200928,1152.9014792442322,1168.8074746131897
61212,1157.2235441207886,1163.6424922943115,1163.1893091201782,1165.1368913650513,1174.063434123993,1188.9999809265137,1172.7128467559814,1197.2147912979126,1149.1942281723022,1169.8489985466003
64812,1163.9785342216492,1165.2621054649353,1160.8495516777039,1149.7257318496704,1165.9827904701233,1186.5254616737366,1171.4412841796875,1168.9664855003357,1151.4963369369507,1172.463119983673
68412,1168.6454310417175,1175.2381105422974,1158.38618850708,1156.3342504501343,1174.3907718658447,1181.130253314972,1173.6945161819458,1164.770676612854,1171.6490278244019,1171.0926761627197
72012,1156.214557647705,1165.7804346084595,1161.1805968284607,1168.7742133140564,1178.1887531280518,1183.9026021957397,1174.289077281952,1165.112403869629,1158.6643295288086,1170.4560780525208
75612,1153.7557654380798,1158.3736753463745,1167.080674648285,1157.9509224891663,1166.0801539421082,1191.7330403327942,1172.0934863090515,1154.7896375656128,1152.471474647522,1168.9749031066895
79212,1155.2569732666016,1161.6554536819458,1168.7346329689026,1147.7080388069153,1174.641305923462,1172.1330881118774,1186.613184928894,1166.8569674491882,1165.6447701454163,1174.5949029922485
82812,1143.5370287895203,1156.0001559257507,1164.063277721405,1153.2110359668732,1164.9092211723328,1171.693787574768,1173.668447971344,1166.6891417503357,1186.7559065818787,1162.4251036643982
86412,1155.352017402649,1161.080171585083,1161.1871609687805,1154.2440485954285,1169.4651737213135,1174.7523460388184,1167.4142327308655,1188.8463973999023,1160.6521310806274,1162.4106268882751
90012,1150.2037014961243,1162.769546031952,1163.572081565857,1147.5055706501007,1171.1676926612854,1174.6880593299866,1174.8151140213013,1306.4735412597656,1160.937316417694,1166.555404663086
